Consumo_ID;Reserva_ID;Data_Consumo;Categoria_Consumo;Item_Descricao;Quantidade;Valor_Unitario
CNS-64603816;RSV-21545822;14/07/2025;Passeio;City Tour Histórico;2;330,18
CNS-25953928;RSV-91864307;18/08/2025;Room Service;Café da Manhã no Quarto;1;86,28
CNS-10653817;RSV-77593288;09/01/2025;Spa;Massagem Relaxante 50 min;1;238,04
CNS-35961478;RSV-80188147;2024-08-14;Frigobar;Suco Natural;1;13,67
CNS-61180694;RSV-07507165;15/03/2025;Spa;Massagem Relaxante 50 min;4;153,52
CNS-77849226;RSV-38175177;23.07.24;Room Service;Tábua de Frios;1;39,01
CNS-56786931;RSV-18493330;10.06.26;Passeio;Ingresso de Museu;2;210,06
CNS-81183503;RSV-53155662;28/12/2025;Restaurante;Porção de Petiscos;1;R$ 77,37
CNS-51331502;RSV-02943972;09/04/2026;Restaurante;Pizza Margherita;2;118,25
CNS-32205262;RSV-84750769;22/09/2025;Frigobar;Cerveja Long Neck;2;24,04
CNS-10706666;RSV-88974346;13/03/2026;Spa;Circuito de Sauna;1;126,63
CNS-62849972;RSV-64078304;12/07/2025;Passeio;Tour de Vinícolas;3;R$ 227,02
CNS-79793319;RSV-23990585;05/12/2024;Spa;Tratamento Facial;2;318,55
CNS-39459112;RSV-28006428;24/06/2026;Frigobar;Refrigerante Lata;1;23,58
CNS-84093521;RSV-94144839;05/09/2025;Estacionamento;Diária de Estacionamento;1;25,22
CNS-59424320;RSV-66018641;25-10-2024;Frigobar;Água Mineral 500 ml;1;11,46
CNS-27175403;RSV-79997604;14/02/2026;Passeio;Passeio de Escuna;3;386,38
CNS-96879130;RSV-26877549;03/02/2026;Room Service;Sanduíche Club;2;49,57
CNS-91811644;RSV-11524966;12/03/2025;Lavanderia;Lavagem de Peça;1;41,45
CNS-16483214;RSV-70852292;19.03.26;Estacionamento;Diária de Estacionamento;3;50,43
CNS-87628049;RSV-10046242;26/04/2026;Restaurante;Risoto de Camarão;3;49,39
CNS-25717676;RSV-29958887;07/09/2024;Estacionamento;Diária de Estacionamento;3;59,43
CNS-62599666;RSV-14663174;13/09/2025;FRIGOBAR;Mix de Castanhas;2;10,60
CNS-85078388;RSV-90654707;15/10/2024;Spa;Circuito de Sauna;1;146,15
CNS-35223082;RSV-93992562;10/08/2024;Passeio;Passeio de Buggy;1;199,99
CNS-09233781;RSV-19624254;13/12/2024;Restaurante;Jantar Executivo;3;61,05
CNS-78462982;RSV-54220341;30-06-2026;Restaurante;Taça  de Vinho Tinto;1;105,16
CNS-33061956;RSV-86253700;26/10/2024;Restaurante;Risoto de Camarão;2;76,05
CNS-59859339;RSV-18424857;2024-09-15;Lavanderia;Lavagem a Seco;1;27,82
CNS-87493865;RSV-16635981;19/03/2026;Frigobar;Chocolate;1;25,12
CNS-22564578;RSV-38172153;25/05/2025;Frigobar;Mix de Castanhas;1;15,49
CNS-89273400;RSV-71943490;23/08/2025;Estacionamento;Valet;3;58,28
CNS-62173427;RSV-64983316;11-07-2025;Frigobar;Chocolate;1;24,78
CNS-13276272;RSV-08688603;26/01/2025;Lavanderia;Lavagem a Seco;2;30,59
CNS-07507836;RSV-25442620;20/02/2025;Estacionamento;Diária de Estacionamento;3;38,60
CNS-66158519;RSV-60106277;14/02/2025;Estacionamento;Diária de Estacionamento;2;29,07
CNS-04604659;RSV-61824844;29/06/2026;Frigobar;Refrigerante Lata;2;14,37
CNS-13207872;RSV-93244663;25/02/2026;Frigobar;Água Mineral 500 ml;2;10,03
CNS-04502779;RSV-14487096;13-07-2024;Spa;Circuito de Sauna;1;311,50
CNS-38229415;RSV-46943653;30/07/2025;Frigobar;Água Mineral 500 ml;4;6,12
CNS-83430698;RSV-30117890;25/04/2025;Spa;Day Use Spa;2;146,60
CNS-36019691;RSV-64708840;13/09/2025;Restaurante;Jantar Executivo;2;86,05
CNS-46232998;RSV-47771365;17/08/2025;Frigobar;Mix de Castanhas;3;7,44
CNS-63234624;RSV-09839710;03/05/2025;Restaurante;Taça de Vinho Tinto;2;70,81
CNS-59042932;RSV-34488203;10-07-2025;Frigobar;Suco Natural;2;19,99
CNS-90648504;RSV-00495443;20/10/2025;Frigobar;Refrigerante Lata;1;12,41
CNS-34850381;RSV-70454757;11/09/2024;Frigobar;Chocolate;1;9,74
CNS-68510512;RSV-18708280;02/02/2026;Estacionamento;Valet;1;30,35
CNS-13602103;RSV-92633705;10/01/2025;Frigobar;Água Mineral 500 ml;1;18,89
CNS-22259809;RSV-03178521;22-09-2024;Passeio;Noite de Fondue;4;111,04
CNS-78746808;RSV-06993127;12/09/2024;Estacionamento;Diária de Estacionamento;1;59,65
CNS-05233492;RSV-25545978;2024-08-10;Restaurante;Sobremesa da Casa;1;105,20
CNS-59671832;RSV-12494761;30/03/2026;Restaurante;Risoto de Camarão;2;99,43
CNS-79659833;RSV-18936674;31-01-2026;Lavanderia;Lavagem a Seco;2;37,55
CNS-34955983;RSV-00327219;11/01/2025;Restaurante;Porção de Petiscos;2;86,14
CNS-78791638;RSV-40297058;21/06/2025;Estacionamento;Diária de Estacionamento;4;44,89
CNS-49557704;RSV-67833759;2025-09-01;Frigobar;Chocolate;1;6,90
CNS-96191727;RSV-07011010;16/06/2025;Restaurante;Jantar Executivo;1;43,44
CNS-97150246;RSV-90438221;10/10/2025;Room Service;Tábua de Frios;2;51,81
CNS-85803460;RSV-08379801;15/08/2025;Spa;Day Use Spa;3;353,91
CNS-26621798;RSV-22171958;18.01.26;Estacionamento;Valet;2;45,01
CNS-05354075;RSV-12022764;07/10/2025;Estacionamento;Diária de Estacionamento;2;29,16
CNS-21137797;RSV-20270734;06/06/2025;Passeio;Aula de Stand-Up Paddle;1;187,79
CNS-97710463;RSV-68790813;05-04-2025;Frigobar;Cerveja Long Neck;1;18,49
CNS-77996669;RSV-67653229;12/02/2026;Spa;Massagem Relaxante 50 min;1;130,29
CNS-74329010;RSV-34450501;27/06/2025;Lavanderia;Lavagem de Peça;1;36,94
CNS-29177854;RSV-94324488;02/11/2025;Passeio;Passeio de Teleférico;4;123,78
CNS-28033447;RSV-81783062;11/02/2026;Frigobar;Chocolate;1;18,94
CNS-11487409;RSV-62073423;09.07.25;Frigobar;Água Mineral 500 ml;1;17,41
CNS-63530520;RSV-98820209;2024-11-20;Lavanderia;Passadoria Express;1;42,96
CNS-55353098;RSV-41025983;14/05/2026;Spa;Massagem Relaxante 50 min;1;369,72
CNS-00777001;RSV-40113000;22/07/2024;Frigobar;Refrigerante Lata;1;17,13
CNS-77340036;RSV-86527946;11/12/2025;Room Service;Omelete com Salada;1;59,65
CNS-46758598;RSV-23619968;22/09/2025;Restaurante;Taça de Vinho Tinto;2;131,99
CNS-63239026;RSV-13326859;26/03/2025;Spa;Circuito de Sauna;2;261,44
CNS-88793234;RSV-05915255;26/07/2025;Frigobar;Suco Natural;2;22,67
CNS-08513418;RSV-17604473;19/09/2024;Frigobar;Mix de Castanhas;1;12,54
CNS-89327379;RSV-89976897;17/02/2025;Spa;Tratamento Facial;1;402,24
CNS-60055697;RSV-55390549;25/08/2024;Lavanderia;Lavagem a Seco;1;29,20
CNS-49875946;RSV-23162681;2025-11-04;Passeio;Passeio de Teleférico;1;255,36
CNS-15408782;RSV-90894897;29/10/2025;Room Service;Omelete com Salada;3;83,98
CNS-15387714;RSV-80054224;17/01/2026;Frigobar;Mix de Castanhas;4;9,60
CNS-82278172;RSV-67009016;2025-11-06;Frigobar;Suco Natural;3;12,89
CNS-52008186;RSV-59140551;06/12/2025;Room Service;Café da Manhã no Quarto;3;55,36
CNS-05332240;RSV-52227794;02/03/2025;Frigobar;Chocolate;1;10,57
CNS-80769053;RSV-92178622;26/08/2024;Room Service;Omelete com Salada;1;69,34
CNS-88030915;RSV-62129165;03/08/2025;Restaurante;Porção de Petiscos;4;38,14
CNS-55042262;RSV-04451215;13/04/2026;Frigobar;Chocolate;1;19,71
CNS-90357861;RSV-31548302;28-02-2025;PASSEIO;Mergulho com Cilindro;2;433,36
CNS-82928447;RSV-99264734;08/01/2026;Frigobar;Suco Natural;1;6,00
CNS-04316354;RSV-34039969;23.11.24;Passeio;Trilha ao Mirante;2;302,44
CNS-37333988;RSV-82942698;27/04/2026;Room Service;Sanduíche Club;1;81,29
CNS-58550612;RSV-53749053;14/12/2025;Room Service;Sanduíche Club;2;42,51
CNS-20542754;RSV-64078304;14/07/2025;Passeio;Trilha ao Mirante;1;157,64
CNS-23267507;RSV-24613423;02/07/2025;Frigobar;Mix de Castanhas;1;8,98
CNS-43550463;RSV-67942902;02/02/2026;Lavanderia;Lavagem de Peça;3;34,76
CNS-85212024;RSV-72024468;14.04.25;Passeio;Passeio de Buggy;1;223,12
CNS-69177691;RSV-06877384;21/04/2026;Frigobar;Refrigerante Lata;2;23,81
CNS-43627554;RSV-77654505;19/12/2024;Room Service;Café da Manhã no Quarto;1;63,56
CNS-52136306;RSV-16063446;31/10/2025;Spa;Tratamento Facial;1;333,57
CNS-72173438;RSV-42631101;08/07/2025;Room Service;Café da Manhã no Quarto;1;34,24
CNS-32836750;RSV-06909567;25.06.25;Lavanderia;Lavagem de Peça;3;32,50
CNS-19206739;RSV-81494937;14/06/2026;Frigobar;Chocolate;1;15,13
CNS-44085170;RSV-79780144;30.09.25;Restaurante;Taça de Vinho Tinto;1;89,69
CNS-14205732;RSV-25885020;09/08/2025;PASSEIO;Aula de Stand-Up Paddle;2;415,42
CNS-62197199;RSV-69030487;27/06/2025;Restaurante;Almoço Buffet;1;139,07
CNS-90525687;RSV-35504710;17.10.24;Spa;Tratamento Facial;4;209,85
CNS-09394350;RSV-94504471;05.09.24;Room Service;Sanduíche Club;2;36,04
CNS-82492777;RSV-81787098;05/09/2025;Passeio;Passeio de Escuna;4;237,03
CNS-56860124;RSV-49492708;16/02/2025;Room Service;Tábua de Frios;1;73,22
CNS-68108225;RSV-49289644;2024-08-06;Estacionamento;Valet;2;39,02
CNS-76501359;RSV-73394532;2026-01-19;Restaurante;Taça de Vinho Tinto;1;113,70
CNS-02855855;RSV-33463441;22/09/2025;Estacionamento;Valet;1;28,58
CNS-49604444;RSV-44146436;30/12/2025;Restaurante;Porção de Petiscos;1;128,63
CNS-12766974;RSV-50793332;27/07/2025;Room Service;Tábua de Frios;1;28,12
CNS-67872947;RSV-43070301;04/11/2024;Passeio;Passeio de Escuna;2;110,72
CNS-81866433;RSV-69455934;11/06/2025;Restaurante;Pizza Margherita;1;99,18
CNS-65978431;RSV-62571474;27/02/2026;Frigobar;Cerveja Long Neck;1;22,77
CNS-15349675;RSV-68350383;15/05/2026;Frigobar;Refrigerante Lata;1;20,28
CNS-10607728;RSV-12131328;27/09/2025;Passeio;Trilha na Mata com Guia;1;152,81
CNS-03803238;RSV-79377365;25/05/2025;Estacionamento;Diária de Estacionamento;3;25,57
CNS-64327202;RSV-42402953;01/03/2025;Frigobar;Chocolate;1;22,20
CNS-39289994;RSV-28533330;10/09/2025;Restaurante;Almoço Buffet;2;67,94
CNS-99644395;RSV-34885898;15/12/2024;Frigobar;Refrigerante Lata;1;17,90
CNS-69627637;RSV-34274828;13/12/2024;Passeio;Mergulho com Cilindro;1;349,44
CNS-07930181;RSV-66787087;05/06/2026;Restaurante;Pizza Margherita;1;72,14
CNS-74910726;RSV-10687643;21/02/2026;Restaurante;Sobremesa da Casa;4;50,43
CNS-13791422;RSV-27628231;12/10/2024;Room Service;Café da Manhã no Quarto;3;69,60
CNS-27800353;RSV-81942818;2025-07-19;Restaurante;Taça de Vinho Tinto;1;39,33
CNS-47580486;RSV-10133007;27/02/2025;Lavanderia;Lavagem de Peça;3;17,22
CNS-11527115;RSV-28693852;30/11/2024;Frigobar  ;Refrigerante Lata;2;6,29
CNS-92702942;RSV-13425073;27.01.25;Lavanderia;Lavagem a Seco;1;15,07
CNS-49993362;RSV-20600338;19/07/2024;Spa;Day Use Spa;1;189,87
CNS-83728206;RSV-82813306;23/04/2026;Restaurante;Porção de Petiscos;1;39,89
CNS-01168480;RSV-32124686;14/09/2024;Restaurante;Pizza Margherita;2;84,41
CNS-84570480;RSV-96994551;16/01/2025;Estacionamento;Valet;2;49,24
CNS-23553405;RSV-26016164;28/10/2024;Restaurante;Porção de Petiscos;1;132,92
CNS-13962279;RSV-95901033;06/10/2024;Restaurante;almoço buffet;1;92,43
CNS-45394830;RSV-42615826;2025-05-04;Frigobar;Mix de Castanhas;1;20,71
CNS-91579053;RSV-29127941;12.01.25;Passeio;Aula de Stand-Up Paddle;1;211,57
CNS-99824604;RSV-72964317;02/09/2024;Passeio;Passeio de Teleférico;3;276,11
CNS-30068588;RSV-15071628;22-11-2024;Estacionamento;Valet;2;59,08
CNS-60863895;RSV-48631311;28/02/2025;Spa;Tratamento Facial;1;309,70
CNS-11672528;RSV-31418477;10/09/2025;Frigobar;Chocolate;1;13,24
CNS-23676172;RSV-34320308;30/01/2025;Estacionamento;Diária de Estacionamento;1;37,65
CNS-92739221;RSV-45005162;24/01/2025;Passeio;Flutuação em Rio Cristalino;1;172,14
CNS-79885990;RSV-82220614;09/06/2025;Frigobar;Refrigerante Lata;1;21,23
CNS-22841934;RSV-14366493;14/03/2025;Restaurante;Pizza Margherita;1;107,18
CNS-09276603;RSV-96544172;14/03/2025;Restaurante;Sobremesa da Casa;2;93,43
CNS-98229176;RSV-20983282;16/11/2024;Frigobar;Água Mineral 500 ml;1;14,31
CNS-20430988;RSV-59383647;03.05.25;Passeio;Flutuação em Rio Cristalino;3;446,95
CNS-51655536;RSV-65795180;04/02/2026;Room Service;Omelete com Salada;2;48,14
CNS-26358660;RSV-56023455;08/06/2026;Passeio;Aula de Stand-Up Paddle;2;450,32
CNS-44191650;RSV-76838887;11/11/2024;Lavanderia;Lavagem a Seco;1;12,92
CNS-94145202;RSV-94850706;04/04/2025;Frigobar;Mix de Castanhas;1;17,31
CNS-13226626;RSV-70392620;12/12/2024;Spa;Circuito de Sauna;1;128,15
CNS-71949028;RSV-17802923;23/05/2026;PASSEIO;Tour de Vinícolas;1;99,31
CNS-26004974;RSV-63698885;12/07/2025;Frigobar;Suco Natural;1;21,40
CNS-64203447;RSV-43239434;23/07/2024;Estacionamento;Valet;1;29,97
CNS-74667012;RSV-45379226;26/01/2026;Lavanderia;Passadoria Express;1;44,11
CNS-66412846;RSV-12080357;18/08/2025;Lavanderia;Lavagem de Peça;1;43,22
CNS-84834280;RSV-11976272;31/12/2025;Spa;Circuito de Sauna;1;132,07
CNS-31840420;RSV-94026146;14/12/2024;Room Service;Café da Manhã no Quarto;3;83,74
CNS-25631217;RSV-46561818;11/10/2024;Restaurante;Sobremesa da Casa;1;101,58
CNS-28459482;RSV-43227439;10/06/2026;Frigobar;Suco Natural;1;16,76
CNS-48920054;RSV-59846301;20.01.25;Passeio;Aula de Stand-Up Paddle;3;265,95
CNS-39744954;RSV-07373269;11/11/2025;Spa;Tratamento Facial;2;324,05
CNS-20594344;RSV-92944444;27.12.25;Frigobar;Cerveja Long Neck;1;26,31
CNS-59393597;RSV-97018235;2026-02-16;Frigobar;Refrigerante Lata;1;15,36
CNS-08212710;RSV-22688949;29/11/2024;Restaurante;Risoto de Camarão;2;62,34
CNS-31343038;RSV-49389064;24/01/2025;Restaurante;Taça de Vinho Tinto;1;116,02
CNS-91489438;RSV-22446351;22/05/2026;Spa;Circuito de Sauna;1;266,82
CNS-20706212;RSV-59983884;01-10-2024;Restaurante;Porção de Petiscos;4;94,07
CNS-20375182;RSV-26983141;23-12-2024;Passeio;Passeio de Teleférico;1;197,07
CNS-03642125;RSV-17708743;06-10-2025;Estacionamento;Valet;4;37,68
CNS-04426653;RSV-84972251;21/11/2025;Restaurante;Jantar Executivo;2;35,57
CNS-87851929;RSV-83781270;21/03/2026;Estacionamento;Diária de Estacionamento;2;47,02
CNS-93528081;RSV-84431739;16/10/2025;Room Service;Sanduíche Club;1;54,99
CNS-67636170;RSV-75485537;24-08-2024;Spa;Massagem Relaxante 50 min;1;380,43
CNS-22864198;RSV-13412402;23.10.24;Frigobar;Água Mineral 500 ml;1;14,94
CNS-55706601;RSV-78564484;08-09-2024;Frigobar;Cerveja Long Neck;3;26,91
CNS-32287477;RSV-70122367;03/02/2026;Lavanderia;Lavagem a Seco;3;44,80
CNS-36723160;RSV-27177972;29/06/2026;Passeio;Passeio de Escuna;2;251,42
CNS-31603053;RSV-94710872;25/04/2025;Frigobar;Cerveja Long Neck;1;16,65
CNS-99381790;RSV-35641469;22/07/2025;Frigobar;Água Mineral 500 ml;2;15,55
CNS-61640183;RSV-54846036;27/07/2024;Restaurante;Porção de Petiscos;1;74,60
CNS-69209836;RSV-23936916;2026-01-11;Lavanderia;Passadoria Express;2;R$ 18,74
CNS-38142080;RSV-54143385;07/03/2025;Restaurante;Risoto de Camarão;1;45,33
CNS-44093259;RSV-37079092;2026-04-24;Restaurante;Taça de Vinho Tinto;1;77,49
CNS-05348804;RSV-81812565;10/01/2026;Frigobar;Refrigerante  Lata;1;11,17
CNS-34680136;RSV-59497378;19/06/2025;Frigobar;Refrigerante Lata;1;12,24
CNS-27944267;RSV-90137719;23/05/2026;Passeio;Noite de Fondue;3;261,49
CNS-84250331;RSV-83146984;28/02/2025;Room Service;Sanduíche Club;3;35,54
CNS-17188444;RSV-63126601;09/10/2025;Lavanderia;Lavagem a Seco;2;15,24
CNS-57963123;RSV-95772029;27/05/2025;Restaurante;Sobremesa da Casa;2;115,89
CNS-84819924;RSV-25338207;19/07/2024;Room Service;Café da Manhã no Quarto;1;78,24
CNS-92739089;RSV-32021532;02/01/2026;Room Service;Omelete com Salada;2;33,50
CNS-00470121;RSV-00986596;16/11/2024;Restaurante;Pizza Margherita;3;75,86
CNS-43622129;RSV-05925143;03.08.25;Frigobar;Mix de Castanhas;2;22,31
CNS-14826465;RSV-00444575;12-04-2026;Restaurante;Pizza Margherita;1;120,45
CNS-91389295;RSV-12521390;09/05/2026;Restaurante;Porção de Petiscos;2;42,20
CNS-77097121;RSV-28291405;19/03/2026;Estacionamento;Valet;2;54,61
CNS-36339953;RSV-97684058;2025-08-11;Room Service;Café da Manhã no Quarto;1;27,48
CNS-87122830;RSV-70868617;07/01/2026;Spa;Circuito de Sauna;1;353,57
CNS-17941220;RSV-22853400;30/04/2026;Restaurante;Pizza Margherita;1;132,82
CNS-37945176;RSV-67036286;13.06.25;Estacionamento;Diária de Estacionamento;1;51,70
CNS-23568617;RSV-40659851;19/05/2025;Room Service;Café da Manhã no Quarto;1;28,50
CNS-68355864;RSV-83388823;05/09/2025;Restaurante;Sobremesa da Casa;3;35,03
CNS-25834973;RSV-74166460;04/01/2026;Restaurante;Sobremesa da Casa;2;53,75
CNS-00049265;RSV-58704674;13/08/2025;Restaurante;Almoço Buffet;4;110,21
CNS-69060843;RSV-29248834;19/07/2024;Room Service;Omelete com Salada;3;82,89
CNS-53957817;RSV-23688469;04/06/2025;Frigobar;Refrigerante Lata;1;6,15
CNS-41622008;RSV-08921104;20/09/2025;Restaurante;Jantar Executivo;1;34,57
CNS-32705738;RSV-58277074;07/07/2025;Frigobar;Cerveja Long Neck;1;23,17
CNS-19785911;RSV-77306220;09/03/2025;Passeio;Aula de Stand-Up Paddle;2;307,12
CNS-96698291;RSV-11934679;09-01-2026;Spa;Massagem Relaxante 50 min;1;386,01
CNS-91438120;RSV-90745952;26/03/2025;Room Service;Tábua de Frios;2;63,56
CNS-81821950;RSV-76083203;02/01/2026;Passeio;Passeio de Buggy;1;463,82
CNS-62138325;RSV-22914319;06/06/2026;Passeio;Passeio de Buggy;2;464,13
CNS-63763012;RSV-13738514;12/07/2025;Spa;Day Use Spa;1;232,17
CNS-10261837;RSV-38549765;03/05/2025;Restaurante;Taça de Vinho Tinto;1;35,34
CNS-84003377;RSV-31237914;31/03/2026;Estacionamento;Valet;2;58,25
CNS-81524440;RSV-66896402;05/01/2025;Estacionamento;Diária de Estacionamento;3;26,85
CNS-18192425;RSV-15516217;24/08/2024;Restaurante;Taça de Vinho Tinto;4;34,89
CNS-47679683;RSV-08849732;07/09/2024;Restaurante;Taça de Vinho Tinto;1;127,62
