Chamado_ID;Quarto_ID;Funcionario_ID;Tipo_Chamado;Prioridade;Data_Abertura;Data_Fechamento;Avaliacao_Atendimento
CHM-7664923;QRT-29802;FUN-73856;Hidráulica;Baixa;14/01/2025 16:21;14/01/2025 23:40;5
CHM-9415413;QRT-71975;FUN-49013;Fechadura Eletrônica;Alta;12/11/2025 18:22;12-11-2025;3
CHM-5464574;QRT-22585;FUN-90839;TV / Controle;Média;03/08/2025 16:19;03/08/2025 19:23;4
CHM-4276640;QRT-95923;FUN-29826;Wi-Fi;Baixa;21/04/2026 21:52;22/04/2026 08:45;3
CHM-7943004;QRT-76736;FUN-16922;TV / Controle;Média;03/01/2026 17:36;04/01/2026 03:16;3
CHM-4029193;QRT-42908;FUN-66580;Hidráulica;Média;04.10.25;05/10/2025 12:16;2
CHM-0391586;QRT-93908;FUN-29826;Limpeza Extra;Alta;16.11.25;16/11/2025 08:17;4
CHM-4464544;QRT-56980;FUN-57664;Frigobar com Defeito;ALTA;01.09.25;01/09/2025 22:22;5
CHM-8302200;QRT-96237;FUN-65780;Elétrica;Baixa;2025-08-30;31/08/2025 07:36;5
CHM-2362369;QRT-03446;FUN-12040;Ar-condicionado;P2;23/08/2024 19:36;24/08/2024 04:19;2
CHM-2490105;QRT-47628;FUN-89330;Limpeza Extra;Alta;2025-07-27;27/07/2025 13:06;4
CHM-8872219;QRT-56455;FUN-16922;Wi-Fi;Alta;10.06.26;10/06/2026 16:53;2
CHM-9301899;QRT-31930;FUN-73856;TV / Controle;Média;2025-06-03;2025-06-04;3
CHM-0950354;QRT-88654;FUN-28577;Wi-Fi;Média;23/07/2024 19:23;24/07/2024 02:59;5
CHM-6373384;QRT-04414;FUN-71181;Elétrica;Media;27/05/2026 06:49;28/05/2026 00:35;3
CHM-0079939;QRT-72363;FUN-22027;Wi-Fi;Alta;02/04/2025 08:06;02/04/2025 09:08;5
CHM-4107871;QRT-02007;FUN-37715;Limpeza Extra;MÉDIA;07/02/2025 22:24;08/02/2025 01:58;5
CHM-4356306;QRT-60979;FUN-81524;Wi-Fi;Média;26/05/2025 22:51;27/05/2025 02:58;3
CHM-9518280;QRT-78524;FUN-78820;Wi-Fi;BAIXA;14.07.25;14/07/2025 21:40;5
CHM-4286539;QRT-53914;FUN-16922;Hidráulica;Média;04/06/2025 13:44;04/06/2025 17:12;5
CHM-8662166;QRT-73232;FUN-64047;Fechadura Eletrônica;Baixa;08/02/2026 18:19;09-02-2026;4
CHM-9873828;QRT-92964;FUN-49170;Limpeza Extra;Média;20/08/2025 12:42;20/08/2025 15:32;5
CHM-0024014;QRT-94556;FUN-08828;wi-fi;Baixa;16/12/2025 08:53;17/12/2025 13:24;3
CHM-4060030;QRT-22178;FUN-16922;Hidráulica;Alta;30/09/2024 22:23;2024-10-01;4
CHM-7564391;QRT-98370;FUN-22027;Ar-condicionado;Alta;07/06/2026 14:46;07/06/2026 15:46;5
CHM-2913888;QRT-65918;FUN-86194;TV / Controle;Baixa;09/04/2025 09:39;10/04/2025 00:44;4
CHM-0868557;QRT-94225;FUN-19473;Hidráulica;Alta;26.01.26;2026-01-26;3
CHM-5280057;QRT-25571;FUN-67282;Elétrica;Média;14-11-2025;15.11.25;5
CHM-8646639;QRT-96687;FUN-76103;Elétrica;Média;15/03/2025 06:53;15/03/2025 09:45;5
CHM-9991551;QRT-80765;FUN-83865;Fechadura Eletrônica;Média;30.07.25;30/07/2025 14:44;4
CHM-7127038;QRT-92177;FUN-49013;Hidráulica;Média;17/03/2026 11:11;17/03/2026 23:38;3
CHM-5737222;QRT-04283;FUN-39946;Wi-Fi;Alta;27/10/2024 08:27;27-10-2024;5
CHM-1271138;QRT-46149;FUN-64755;Wi-Fi;Média;05/10/2025 17:39;05/10/2025 19:45;5
CHM-1185084;QRT-94556;FUN-70436;Hidráulica;Média;22.12.24;22/12/2024 23:43;4
CHM-2166997;QRT-18531;FUN-25313;Fechadura Eletrônica;Baixa;13/12/2025 14:29;2025-12-14;1
CHM-2419211;QRT-14624;FUN-48683;Ar-condicionado;Média;06-08-2024;07/08/2024 01:43;4
CHM-9942397;QRT-64260;FUN-41540;Fechadura Eletrônica;Baixa;02/10/2024 10:38;04/10/2024 05:18;2
CHM-6645052;QRT-87654;FUN-71493;Elétrica;Baixa;09/12/2025 20:31;10.12.25;3
CHM-6171830;QRT-41748;FUN-12040;Ar-condicionado;Baixa;14/03/2026 14:33;15/03/2026 01:31;5
CHM-2051874;QRT-41356;FUN-52300;Limpeza Extra;Média;29/11/2025 14:59;29/11/2025 18:22;4
CHM-4124489;QRT-56455;FUN-16922;Fechadura Eletrônica;Baixa;03/08/2025 17:50;04/08/2025 10:03;5
CHM-2115749;QRT-53917;FUN-22027;Wi-Fi;Baixa;07/04/2025 10:38;09/04/2025 09:06;3
CHM-7033725;QRT-42819;FUN-05739;Elétrica;Alta;11/07/2024 09:29;11/07/2024 10:00;5
CHM-3517292;QRT-87613;FUN-76103;Ar-condicionado;baixa;09/11/2025 22:15;10/11/2025 13:31;5
CHM-7297785;QRT-83689;FUN-49170;Hidráulica;Média;22/11/2025 17:06;22/11/2025 22:09;5
CHM-8618974;QRT-87183;FUN-12576;Ar-condicionado;Média;24.07.24;25/07/2024 02:09;4
CHM-5430160;QRT-29854;FUN-64755;Ar-condicionado;Alta;02/09/2024 16:13;02/09/2024 17:08;4
CHM-5461563;QRT-53432;FUN-41540;Wi-Fi;Baixa;11-09-2025;12/09/2025 03:17;4
CHM-2422652;QRT-17820;FUN-13975;Wi-Fi;Média;31-01-2026;31/01/2026 14:07;5
CHM-3905011;QRT-28319;FUN-05739;Hidráulica;Alta;29/01/2025 20:05;29/01/2025 22:05;3
CHM-7313778;QRT-27391;FUN-07814;Ar-condicionado;Baixa;10-05-2025;10/05/2025 16:53;5
CHM-5622475;QRT-37204;FUN-50800;TV / Controle;Alta;03/03/2026 07:49;03/03/2026 09:45;5
CHM-3007038;QRT-07215;FUN-05739;Wi-Fi;Média;29/05/2025 17:08;30/05/2025 01:04;4
CHM-9664612;QRT-74465;FUN-08486;Hidráulica;Baixa;11-06-2025;11/06/2025 21:25;5
CHM-3424312;QRT-17482;FUN-22607;Fechadura Eletrônica;Média;19/02/2026 09:27;19/02/2026 11:12;5
CHM-8591095;QRT-98042;FUN-65780;WI-FI;Média;11/09/2024 09:57;11-09-2024;5
CHM-4473936;QRT-47168;FUN-96354;Ar-condicionado;Baixa;31/12/2024 11:20;31-12-2024;4
CHM-2753569;QRT-49389;FUN-08828;Wi-Fi;Baixa;31/10/2024 12:51;31/10/2024 23:44;3
CHM-3530912;QRT-78055;FUN-25313;AR-CONDICIONADO;Média;27/07/2024 08:01;27/07/2024 09:09;4
CHM-1464287;QRT-04283;FUN-08486;Hidráulica;Alta;24/07/2024 12:10;24/07/2024 13:20;5
CHM-4167354;QRT-22585;FUN-90839;Ar-condicionado;Média;17-08-2024;17/08/2024 16:08;5
CHM-7024014;QRT-90947;FUN-71181;Hidráulica;Baixa;03/10/2024 10:31;04/10/2024 15:57;3
CHM-8553093;QRT-78524;FUN-73856;Elétrica;Média;14-08-2024;14/08/2024 18:51;3
CHM-7749995;QRT-44476;FUN-16922;Elétrica;Média;23/01/2026 19:47;24/01/2026 00:35;5
CHM-7178174;QRT-53432;FUN-86199;Elétrica;Média;06.03.25;06/03/2025 20:09;3
CHM-7456429;QRT-59498;FUN-92045;TV / Controle;Média;17/06/2025 16:28;17.06.25;4
CHM-4778286;QRT-70680;FUN-07814;Ar-condicionado;Baixa;10/10/2025 19:02;11/10/2025 04:31;5
CHM-6572351;QRT-59474;FUN-81524;Fechadura Eletrônica;Baixa;05/06/2025 14:22;05/06/2025 22:39;5
CHM-7230163;QRT-29439;FUN-15784;Frigobar com Defeito;Baixa;07/04/2025 22:08;08-04-2025;5
CHM-3510831;QRT-49331;FUN-22607;Elétrica;Média;22/04/2026 20:26;22/04/2026 22:43;5
CHM-7729611;QRT-13595;FUN-09102;Elétrica;Baixa;14/11/2025 13:16;17/11/2025 17:50;2
CHM-0982012;QRT-03596;FUN-71493;Limpeza Extra;Média;27/06/2025 10:35;27/06/2025 12:34;4
CHM-4221286;QRT-45866;FUN-29826;Hidráulica;Média;12/02/2026 17:33;12/02/2026 20:45;5
CHM-3746326;QRT-31908;FUN-12040;Ar-condicionado;Média;26/03/2026 14:12;2026-03-26;5
CHM-0319852;QRT-83689;FUN-64755;TV / Controle;Alta;13/07/2025 10:30;2025-07-13;3
CHM-2710767;QRT-92171;FUN-78820;Hidráulica;Alta;22/11/2024 13:58;2024-11-22;4
CHM-6382054;QRT-60845;FUN-15867;Hidráulica;Média;01/03/2026 15:06;01/03/2026 18:26;3
CHM-0111446;QRT-09785;FUN-07814;Ar-condicionado;Alta;26/11/2024 14:29;26/11/2024 14:55;4
CHM-3912592;QRT-74691;FUN-96106;TV / Controle;Média;17/11/2025 10:27;18/11/2025 03:02;3
CHM-1624846;QRT-13534;FUN-50800;Ar-condicionado;Média;04/12/2024 23:04;05.12.24;3
CHM-2920443;QRT-61962;FUN-05739;Wi-Fi;Baixa;13-07-2025;14/07/2025 12:27;5
CHM-3928169;QRT-06780;FUN-52793;Hidráulica;Baixa;16/07/2025 20:38;18/07/2025 15:54;3
CHM-4738924;QRT-28212;FUN-57664;Wi-Fi;Média;06/10/2025 19:20;06/10/2025 23:15;4
CHM-8845778;QRT-77112;FUN-22027;Elétrica;alta;01-11-2025;01-11-2025;5
CHM-1147583;QRT-53432;FUN-90839;Ar-condicionado;Média;09.08.24;09/08/2024 13:56;5
CHM-1666379;QRT-02862;FUN-86199;Limpeza  Extra;Média;08/12/2024 13:16;10/12/2024 14:38;3
CHM-8330839;QRT-65099;FUN-47371;Hidráulica;Baixa;16-01-2025;17/01/2025 13:40;3
CHM-3853255;QRT-84941;FUN-69104;Ar-condicionado;Média;18/04/2026 11:51;18-04-2026;5
CHM-7473332;QRT-23155;FUN-05739;Ar-condicionado;Média;31/07/2024 21:55;01.08.24;2
CHM-0721357;QRT-62407;FUN-08109;Limpeza Extra;Media;13/01/2026 21:28;14/01/2026 02:57;5
CHM-7585237;QRT-04542;FUN-09102;Ar-condicionado;P3;03/05/2025 18:04;04/05/2025 09:19;4
CHM-4836643;QRT-95712;FUN-67710;Limpeza Extra;Média;07/09/2024 16:41;2024-09-08;1
CHM-1544453;QRT-86467;FUN-81524;Frigobar com Defeito;Média;12/09/2025 18:21;13/09/2025 01:17;5
CHM-4729067;QRT-55333;FUN-36473;Wi-Fi;P1;17/06/2025 20:01;17/06/2025 20:46;5
CHM-5548194;QRT-87183;FUN-37715;Fechadura Eletrônica;Média;23/03/2026 19:30;23/03/2026 22:35;5
CHM-7454371;QRT-16068;FUN-02909;Wi-Fi;Média;16-05-2026;16-05-2026;5
CHM-0668476;QRT-11826;FUN-08849;TV / Controle;Média;23/09/2024 13:01;23/09/2024 16:34;4
CHM-0671113;QRT-84972;FUN-07814;Ar-condicionado;Alta;16/04/2026 14:27;16-04-2026;3
CHM-8736379;QRT-03659;FUN-49170;TV / Controle;Baixa;06/10/2025 20:26;07/10/2025 18:50;4
CHM-6343941;QRT-39368;FUN-89330;Elétrica;Baixa;17/03/2025 10:49;18-03-2025;3
CHM-1453185;QRT-69835;FUN-12040;Ar-condicionado;Baixa;11.09.25;12/09/2025 11:11;4
CHM-0061809;QRT-55333;FUN-48159;Wi-Fi;Baixa;10-03-2026;10/03/2026 14:54;5
CHM-6652903;QRT-25078;FUN-86194;Frigobar com Defeito;Baixa;07/09/2025 21:54;08/09/2025 19:27;5
CHM-0887681;QRT-56455;FUN-73856;Hidráulica;Alta;12/02/2025 18:05;12/02/2025 18:51;4
CHM-2038848;QRT-65173;FUN-28577;Ar-condicionado;Baixa;26.07.24;27.07.24;4
CHM-2336395;QRT-86876;FUN-48159;Wi-Fi;Média;30/08/2025 18:20;2025-08-30;5
CHM-0608090;QRT-80227;FUN-64755;Hidráulica;Média;30/01/2025 12:15;30/01/2025 23:06;2
CHM-8059554;QRT-87466;FUN-08849;Ar-condicionado;Média;25/04/2026 23:01;26/04/2026 03:59;5
CHM-2049362;QRT-23438;FUN-86199;Ar-condicionado;Baixa;27-09-2024;27/09/2024 18:05;5
CHM-4172857;QRT-00087;FUN-08109;Wi-Fi;Baixa;2026-01-11;12.01.26;4
CHM-0941452;QRT-41338;FUN-49013;Ar-condicionado;Baixa;27/07/2024 21:26;28-07-2024;5
CHM-3677946;QRT-26080;FUN-10947;Fechadura Eletrônica;Média;03/12/2025 18:06;03/12/2025 21:57;5
CHM-8997322;QRT-29980;FUN-64755;Elétrica;Média;2025-10-07;08/10/2025 01:19;5
CHM-5487405;QRT-06780;FUN-08486;Ar-condicionado;Baixa;07.02.25;09/02/2025 04:42;2
CHM-1540185;QRT-86201;FUN-50800;Ar-condicionado;Média;01/03/2025 10:02;02/03/2025 21:24;1
CHM-2235352;QRT-37131;FUN-48159;Limpeza Extra;Baixa;05.04.26;06/04/2026 16:59;1
CHM-2919451;QRT-11607;FUN-23383;Ar-condicionado;Alta;15/04/2026 19:43;15-04-2026;3
CHM-2662365;QRT-61719;FUN-02909;Ar-condicionado;Média;22/05/2025 11:55;2025-05-22;5
CHM-9535343;QRT-83424;FUN-71493;Elétrica;Média;29/08/2024 13:11;29/08/2024 19:13;5
CHM-1571588;QRT-37477;FUN-88121;Hidráulica;Baixa;15/03/2026 23:27;16/03/2026 06:12;3
CHM-2546260;QRT-22178;FUN-67710;Elétrica;Alta;20/08/2024 19:51;20/08/2024 22:03;3
CHM-3855184;QRT-78524;FUN-67710;Hidráulica;Média;10/04/2026 23:24;11/04/2026 03:04;4
CHM-3951853;QRT-21496;FUN-86199;Fechadura Eletrônica;Média;09/01/2026 11:19;09/01/2026 14:35;5
CHM-3969072;QRT-80765;FUN-86194;Wi-Fi;Média;21/03/2026 15:53;21/03/2026 19:34;3
CHM-8678805;QRT-39575;FUN-69727;Limpeza Extra;Baixa;04/01/2026 11:34;05-01-2026;5
CHM-9038974;QRT-03369;FUN-12576;Ar-condicionado;Média;25/01/2025 16:59;26/01/2025 03:19;3
CHM-2784807;QRT-75123;FUN-50800;Wi-Fi;Média;2025-10-03;04/10/2025 12:28;2
CHM-1837277;QRT-49331;FUN-08109;Fechadura Eletrônica;Média;21.06.26;21/06/2026 20:36;5
CHM-2213981;QRT-21077;FUN-86194;Limpeza Extra;Baixa;30.11.24;01/12/2024 11:39;5
CHM-2761454;QRT-13595;FUN-09102;Wi-Fi;Média;28/11/2024 21:51;29/11/2024 01:19;5
CHM-8351365;QRT-24274;FUN-48683;Ar-condicionado;P2;27.11.24;27/11/2024 11:05;4
CHM-7648298;QRT-47964;FUN-29826;Wi-Fi;Média;13/08/2024 13:23;13/08/2024 16:36;4
CHM-9219357;QRT-37131;FUN-36473;Ar-condicionado;Média;16-10-2025;16-10-2025;2
CHM-5329100;QRT-94556;FUN-70436;Hidráulica;Média;25/07/2024 08:03;25.07.24;5
CHM-8955454;QRT-58898;FUN-36473;Wi-Fi;Média;01/12/2025 11:12;02.12.25;1
CHM-2342845;QRT-42444;FUN-76103;Elétrica;Média;13/05/2025 23:59;14/05/2025 02:23;5
CHM-7799772;QRT-22585;FUN-01568;Fechadura Eletrônica;Baixa;02-03-2026;03/03/2026 09:14;4
CHM-5885727;QRT-16535;FUN-19473;Elétrica;Média;17-08-2024;17/08/2024 12:35;4
CHM-2365109;QRT-13758;FUN-71493;Elétrica;Média;15/07/2025 19:17;16/07/2025 01:02;4
CHM-4536889;QRT-47759;FUN-18700;Ar-condicionado;Baixa;12.08.24;2024-08-13;4
CHM-0081853;QRT-67879;FUN-36473;Wi-Fi;Média;04-06-2025;2025-06-04;5
CHM-3359739;QRT-89410;FUN-74014;Wi-Fi;Alta;02/07/2025 11:09;02/07/2025 14:30;2
CHM-1711292;QRT-72363;FUN-22027;Wi-Fi;Média;03/11/2024 13:24;03/11/2024 23:40;2
CHM-4966009;QRT-53290;FUN-92311;Hidráulica;Baixa;2025-11-09;10/11/2025 04:38;5
CHM-2273268;QRT-69411;FUN-50800;Hidráulica;Media;06/09/2025 06:42;06/09/2025 15:43;2
CHM-3667951;QRT-35519;FUN-34873;Ar-condicionado;baixa;27/05/2026 12:34;28-05-2026;5
CHM-6096997;QRT-62109;FUN-71493;TV / Controle;Baixa;02/04/2025 10:36;02/04/2025 19:39;5
CHM-7470777;QRT-98042;FUN-65780;TV / Controle;Média;15-02-2025;2025-02-15;5
CHM-6529414;QRT-43677;FUN-94946;Hidráulica;Alta;01/11/2025 13:48;01/11/2025 16:50;2
CHM-7859986;QRT-75030;FUN-19473;Ar-condicionado;Média;15/05/2026 18:41;15/05/2026 23:08;4
CHM-1658818;QRT-11218;FUN-45111;Limpeza Extra;Alta;08-02-2025;08/02/2025 19:14;5
CHM-2421125;QRT-80306;FUN-66580;TV / Controle;Baixa;07-06-2025;09.06.25;3
CHM-2508437;QRT-26080;FUN-39946;Hidráulica;Média;03.06.26;03/06/2026 22:08;2
CHM-9845380;QRT-74690;FUN-50800;Limpeza Extra;Média;06.01.26;06/01/2026 22:55;5
CHM-9703899;QRT-98370;FUN-22027;TV / Controle;Média;24/11/2024 06:05;24/11/2024 10:40;5
CHM-8946063;QRT-65055;FUN-86194;Frigobar com Defeito;Média;31.05.26;31/05/2026 12:53;5
CHM-6216270;QRT-70944;FUN-07814;Limpeza Extra;Média;07/10/2025 14:09;07/10/2025 20:48;3
CHM-2525889;QRT-11649;FUN-07814;Ar-condicionado;Média;22/11/2025 23:55;23/11/2025 03:17;4
CHM-9956862;QRT-02711;FUN-49170;Elétrica;MÉDIA;20.07.24;21/07/2024 04:37;2
CHM-6322762;QRT-41338;FUN-64706;Limpeza Extra;Média;22/02/2025 21:38;23/02/2025 01:59;5
CHM-7104424;QRT-27801;FUN-66580;ar-condicionado;BAIXA;17/02/2026 16:39;18-02-2026;5
CHM-8684404;QRT-27342;FUN-55799;Ar-condicionado;Média;28/11/2025 23:35;29/11/2025 04:27;4
CHM-9935244;QRT-04542;FUN-08234;Limpeza Extra;Baixa;2025-02-20;22/02/2025 15:48;1
CHM-4335112;QRT-56047;FUN-13975;Ar-condicionado;Media;14/05/2025 23:52;15/05/2025 02:38;5
CHM-6020865;QRT-54048;FUN-70436;Hidráulica;Baixa;31/12/2025 15:02;01/01/2026 18:40;2
CHM-7684585;QRT-07031;FUN-45111;Fechadura Eletrônica;Média;16-03-2025;2025-03-16;5
CHM-1258476;QRT-78524;FUN-83865;Fechadura Eletrônica;Média;23/04/2026 11:07;23/04/2026 20:00;3
CHM-4819643;QRT-44476;FUN-16922;Limpeza Extra;Alta;25-05-2026;25-05-2026;5
CHM-2711000;QRT-24118;FUN-70436;Hidráulica;Baixa;04/06/2026 13:52;05/06/2026 15:57;3
CHM-0395434;QRT-72078;FUN-32345;Frigobar com Defeito;Média;08/03/2025 16:03;08/03/2025 20:17;5
CHM-2223416;QRT-04542;FUN-94946;Frigobar com Defeito;Alta;25/11/2025 12:17;25/11/2025 14:53;3
CHM-7572087;QRT-85920;FUN-64755;Limpeza Extra;Média;23/07/2025 10:24;2025-07-23;4
CHM-0011600;QRT-34396;FUN-08109;Elétrica;Alta;2024-10-12;12/10/2024 09:24;5
CHM-0151174;QRT-22585;FUN-69104;TV / CONTROLE;Média;28/07/2025 14:50;2025-07-28;4
CHM-1452140;QRT-26280;FUN-64706;Ar-condicionado;Alta;08-04-2025;08/04/2025 16:00;4
CHM-8550993;QRT-90947;FUN-12576;Hidráulica;Baixa;11/02/2026 07:22;11/02/2026 13:27;4
CHM-9454233;QRT-03596;FUN-47371;TV / Controle;Baixa;2024-11-23;2024-11-26;3
CHM-1241015;QRT-92558;FUN-64047;Ar-condicionado;Média;20/03/2025 06:08;20.03.25;4
CHM-7414694;QRT-83424;FUN-02909;Hidráulica;Média;06/05/2026 12:38;2026-05-06;5
CHM-7290559;QRT-24118;FUN-21094;Wi-Fi;Média;21/04/2026 23:05;22/04/2026 07:42;3
CHM-0124759;QRT-87183;FUN-37715;Ar-condicionado;Média;07/01/2026 06:44;07/01/2026 14:12;4
CHM-4703630;QRT-75780;FUN-48683;Hidráulica;Média;23/05/2025 10:08;23-05-2025;4
CHM-5297054;QRT-66932;FUN-08828;Ar-condicionado;Média;02/12/2025 07:33;02/12/2025 18:38;1
CHM-9861379;QRT-74691;FUN-64755;Limpeza Extra;Baixa;06.03.26;07/03/2026 11:07;2
CHM-7033769;QRT-90111;FUN-34873;Ar-condicionado;Média;23/09/2024 10:29;23/09/2024 11:16;5
CHM-2176090;QRT-39368;FUN-76103;Ar-condicionado;Baixa;12/02/2026 08:56;13/02/2026 06:42;4
CHM-3993303;QRT-90762;FUN-05739;Elétrica;Alta;24/04/2026 07:17;24/04/2026 07:28;5
CHM-0430444;QRT-72107;FUN-71181;Elétrica;Média;07/11/2025 23:39;08.11.25;4
CHM-4510966;QRT-22560;FUN-69727;Ar-condicionado;Média;22.07.25;22/07/2025 11:39;4
CHM-7287878;QRT-14624;FUN-50800;Limpeza Extra;Média;25-11-2025;25/11/2025 16:10;2
CHM-5041765;QRT-78115;FUN-83865;Wi-Fi;Alta;02/06/2026 23:52;03.06.26;2
CHM-0646314;QRT-63998;FUN-64706;Frigobar com Defeito;Alta;26-10-2024;26-10-2024;4
CHM-0638181;QRT-23373;FUN-71493;Ar-condicionado;Média;07/12/2025 22:47;08.12.25;4
CHM-7531193;QRT-58898;FUN-04670;Ar-condicionado;Alta;31.12.24;31/12/2024 23:17;5
CHM-8112392;QRT-16398;FUN-21094;Ar-condicionado;alta;21/04/2026 22:49;22/04/2026 00:25;4
CHM-2521098;QRT-69375;FUN-34873;Elétrica;Média;26-11-2025;26/11/2025 16:26;5
