Reserva_ID;Quarto_ID;Hospede_ID;Canal_Venda;Data_Reserva;Data_Checkin;Data_Checkout;Qtd_Hospedes;Diaria_Media_Cobrada;Status_Reserva
RSV-20142922;QRT-04025;HSP-174110;OTA BookNow;2025-03-24;2025-06-20;2025-06-23;1;580,86;Check-out Realizado
RSV-26399568;QRT-04025;HSP-363936;Site Próprio;2025-05-24;2025-06-27;2025-07-02;1;590,8;Check-out Realizado
RSV-81493362;QRT-04025;HSP-655736;Site Próprio;2025-06-11;2025-07-05;2025-07-09;1;926,42;Check-out Realizado
RSV-20098747;QRT-04025;HSP-596290;Site Próprio;2025-05-18;2025-07-10;2025-07-14;2;863,12;Check-out Realizado
RSV-08562544;QRT-04025;HSP-084891;Site Próprio;2025-06-04;2025-07-18;2025-07-20;2;931,77;Check-out Realizado
RSV-07596416;QRT-04025;HSP-808821;Site Próprio;2025-04-27;2025-07-25;2025-07-28;2;911,39;Check-out Realizado
RSV-79687192;QRT-04025;HSP-128844;OTA ViajaMais;2025-05-25;2025-08-01;2025-08-03;2;853,42;Cancelada
RSV-48702765;QRT-04025;HSP-051154;OTA BookNow;2025-04-19;2025-08-06;2025-08-10;2;675,47;Check-out Realizado
RSV-18561656;QRT-04025;HSP-411193;Central Telefônica;2025-07-19;2025-08-15;2025-08-19;2;742,76;Check-out Realizado
RSV-71471000;QRT-04025;HSP-318780;OTA BookNow;2025-06-20;2025-08-23;2025-08-25;2;513,72;Check-out Realizado
RSV-00974887;QRT-04025;HSP-120295;Site Próprio;2025-07-16;2025-08-29;2025-09-02;1;564,33;Check-out Realizado
RSV-38079638;QRT-04025;HSP-950601;OTA BookNow;2025-07-03;2025-09-03;2025-09-06;2;313,55;Check-out Realizado
RSV-44865753;QRT-04025;HSP-263184;Agência de Turismo;2025-05-31;2025-09-12;2025-09-14;1;719,98;Check-out Realizado
RSV-65807207;QRT-04025;HSP-707828;Site Próprio;2025-06-25;2025-09-19;2025-09-23;2;409,45;Check-out Realizado
RSV-63159679;QRT-04025;HSP-213099;OTA BookNow;2025-06-26;2025-10-03;2025-10-05;2;323,27;Check-out Realizado
RSV-90438221;QRT-04025;HSP-362204;OTA BookNow;2025-08-26;2025-10-10;2025-10-12;2;467,52;Check-out Realizado
RSV-70412901;QRT-04025;HSP-338777;Balcão;2025-10-17;2025-10-17;2025-10-19;2;611,85;Cancelada
RSV-25058892;QRT-04025;HSP-450562;OTA BookNow;2025-09-20;2025-10-22;2025-10-25;2;498,25;Check-out Realizado
RSV-30886106;QRT-04025;HSP-867343;Site Próprio;2025-10-11;2025-10-31;2025-11-03;2;813,83;Check-out Realizado
RSV-77124756;QRT-04025;HSP-147843;OTA BookNow;2025-07-11;2025-11-07;2025-11-10;1;460,5;Check-out Realizado
RSV-62224222;QRT-04025;HSP-331233;Central Telefônica;2025-11-10;2025-11-14;2025-11-16;2;552,06;Check-out Realizado
RSV-60619229;QRT-04025;HSP-203254;OTA ViajaMais;2025-10-06;2025-11-21;2025-11-26;2;569,71;Check-out Realizado
RSV-20538376;QRT-04025;HSP-486564;Site Próprio;2025-10-14;2025-11-27;2025-12-01;1;464,2;Check-out Realizado
RSV-35330004;QRT-04025;HSP-389762;Site Próprio;2025-10-09;2025-12-05;2025-12-09;2;594,04;Check-out Realizado
RSV-37321334;QRT-04025;HSP-025292;OTA BookNow;2025-11-20;2025-12-13;2025-12-20;1;597,72;Check-out Realizado
RSV-73203069;QRT-04025;HSP-360213;Site Próprio;2025-12-10;2025-12-22;2025-12-26;2;970,62;Check-out Realizado
RSV-89244146;QRT-04025;HSP-882339;OTA BookNow;2025-12-18;2026-01-02;2026-01-06;1;998,12;Check-out Realizado
RSV-49945115;QRT-04025;HSP-991336;Site Próprio;2025-10-15;2026-01-12;2026-01-15;1;338,29;Check-out Realizado
RSV-01927495;QRT-04025;HSP-516037;Site Próprio;2025-11-08;2026-01-23;2026-01-26;2;463,34;Check-out Realizado
RSV-26921478;QRT-04025;HSP-397346;OTA BookNow;2025-12-06;2026-01-27;2026-01-30;2;392,73;Check-out Realizado
RSV-20128036;QRT-04025;HSP-624989;OTA ViajaMais;2025-12-28;2026-02-01;2026-02-04;2;849,81;Check-out Realizado
RSV-41509269;QRT-04025;HSP-074227;Site Próprio;2026-01-19;2026-02-13;2026-02-18;2;331,4;Check-out Realizado
RSV-41867056;QRT-04025;HSP-172007;Site Próprio;2026-02-26;2026-02-27;2026-03-02;2;370,05;Check-out Realizado
RSV-61263684;QRT-04025;HSP-976494;Site Próprio;2026-01-12;2026-03-03;2026-03-06;1;352,23;Check-out Realizado
RSV-57177837;QRT-04025;HSP-032907;OTA ViajaMais;2025-12-24;2026-03-07;2026-03-10;1;557,37;Check-out Realizado
RSV-13484335;QRT-04025;HSP-344206;OTA ViajaMais;2025-12-13;2026-03-16;2026-03-19;2;327,9;Check-out Realizado
RSV-27971156;QRT-04025;HSP-800846;OTA ViajaMais;2026-02-01;2026-03-20;2026-03-25;1;380,42;Check-out Realizado
RSV-91436323;QRT-04025;HSP-194585;Agência de Turismo;2026-01-25;2026-04-01;2026-04-04;1;334,16;No-Show
RSV-76231287;QRT-04025;HSP-194250;Agência de Turismo;2026-02-25;2026-04-04;2026-04-07;1;740,11;Check-out Realizado
RSV-69517881;QRT-04025;HSP-581637;Balcão;2026-04-10;2026-04-10;2026-04-12;1;410,09;Check-out Realizado
RSV-81487495;QRT-04025;HSP-829164;Site Próprio;2026-03-09;2026-04-13;2026-04-17;1;457,77;Check-out Realizado
RSV-79479508;QRT-04025;HSP-511450;OTA BookNow;2026-01-03;2026-04-24;2026-04-28;1;672,52;Check-out Realizado
RSV-35016299;QRT-04025;HSP-061319;OTA ViajaMais;2026-01-24;2026-05-06;2026-05-11;1;307,37;Check-out Realizado
RSV-60501338;QRT-04025;HSP-915593;Central Telefônica;2026-05-01;2026-05-14;2026-05-19;2;473,22;Check-out Realizado
RSV-61403498;QRT-04025;HSP-473750;Site Próprio;2026-02-22;2026-05-19;2026-05-26;1;394,96;Check-out Realizado
RSV-94699691;QRT-04025;HSP-086862;Balcão;2026-06-03;2026-06-03;2026-06-07;1;501,05;Check-out Realizado
RSV-53245199;QRT-04025;HSP-974448;OTA BookNow;2026-02-17;2026-06-12;2026-06-15;1;679,89;Check-out Realizado
RSV-32077908;QRT-04025;HSP-382256;Site Próprio;2026-05-31;2026-06-20;2026-06-24;1;587,59;Check-out Realizado
RSV-24299810;QRT-04025;HSP-656870;OTA BookNow;2026-03-10;2026-06-29;2026-07-02;2;544,07;Hospedado
RSV-58550563;QRT-04025;HSP-460962;OTA BookNow;2026-04-07;2026-07-04;2026-07-06;2;892,21;Confirmada
RSV-70120234;QRT-04025;HSP-770001;Agência de Turismo;2026-03-20;2026-07-10;2026-07-15;1;818,58;Confirmada
RSV-55925179;QRT-04025;HSP-377681;Site Próprio;2026-06-12;2026-07-15;2026-07-18;1;892,76;Confirmada
RSV-11327059;QRT-04025;HSP-195007;OTA BookNow;2026-06-10;2026-07-19;2026-07-23;2;942,23;Confirmada
RSV-23279077;QRT-04025;HSP-457223;OTA BookNow;2026-06-29;2026-07-24;2026-07-28;2;994,02;Confirmada
RSV-58285630;QRT-04025;HSP-241967;Site Próprio;2026-05-21;2026-07-31;2026-08-03;1;737,61;Confirmada
RSV-41171784;QRT-04025;HSP-659927;Site Próprio;2026-07-18;2026-08-06;2026-08-08;1;615,52;Confirmada
RSV-46093033;QRT-04025;HSP-037093;Site Próprio;2026-05-11;2026-08-09;2026-08-13;1;939,46;Confirmada
RSV-72079479;QRT-04025;HSP-797998;OTA BookNow;2026-05-09;2026-08-14;2026-08-21;2;623,95;Confirmada
RSV-40753058;QRT-04025;HSP-523114;OTA BookNow;2026-06-25;2026-08-21;2026-08-23;1;913,15;Confirmada
RSV-07904985;QRT-04025;HSP-129639;OTA ViajaMais;2026-05-30;2026-08-28;2026-09-04;1;630,65;Confirmada
RSV-50262429;QRT-04025;HSP-573429;Central Telefônica;2026-09-04;2026-09-11;2026-09-15;2;780,91;Confirmada
RSV-09322926;QRT-04025;HSP-701907;OTA BookNow;2026-07-21;2026-09-25;2026-09-28;1;342,82;Confirmada
RSV-54806633;QRT-74428;HSP-505625;OTA ViajaMais;2024-05-22;2024-07-05;2024-07-09;2;993,34;Check-out Realizado
RSV-41153930;QRT-74428;HSP-622658;OTA ViajaMais;2024-04-29;2024-07-10;2024-07-13;1;891,22;Check-out Realizado
RSV-00500285;QRT-74428;HSP-379223;OTA ViajaMais;2024-04-18;2024-07-19;2024-07-21;1;997,78;Check-out Realizado
RSV-83770698;QRT-74428;HSP-073586;Agência de Turismo;2024-03-11;2024-07-23;2024-07-27;1;924,39;Cancelada
RSV-23816713;QRT-74428;HSP-109323;OTA BookNow;2024-07-21;2024-07-28;2024-07-31;2;969,68;Check-out Realizado
RSV-36513987;QRT-74428;HSP-880706;OTA BookNow;2024-04-27;2024-08-02;2024-08-04;2;955,27;Check-out Realizado
RSV-52982029;QRT-74428;HSP-840628;OTA BookNow;2024-07-21;2024-08-09;2024-08-11;2;715,39;Check-out Realizado
RSV-27683003;QRT-74428;HSP-841302;Balcão;2024-08-11;2024-08-11;2024-08-16;1;929,64;Check-out Realizado
RSV-68446935;QRT-74428;HSP-567988;OTA BookNow;2024-05-20;2024-08-23;2024-08-27;2;941,2;Check-out Realizado
RSV-60401141;QRT-74428;HSP-772733;Site Próprio;2024-08-18;2024-08-31;2024-09-04;1;612,11;Check-out Realizado
RSV-17673542;QRT-74428;HSP-841430;OTA BookNow;2024-05-21;2024-09-07;2024-09-12;2;398,19;Check-out Realizado
RSV-65694369;QRT-74428;HSP-960097;OTA ViajaMais;2024-09-03;2024-09-14;2024-09-18;2;488,77;Check-out Realizado
RSV-00015957;QRT-74428;HSP-947941;Agência de Turismo;2024-06-08;2024-09-21;2024-09-24;1;380,41;Check-out Realizado
RSV-80189494;QRT-74428;HSP-873998;Site Próprio;2024-07-24;2024-09-24;2024-09-27;2;368,78;Check-out Realizado
RSV-13140839;QRT-74428;HSP-655664;Central Telefônica;2024-09-18;2024-10-04;2024-10-07;2;841,76;Check-out Realizado
RSV-18402210;QRT-74428;HSP-360885;Site Próprio;2024-09-29;2024-10-11;2024-10-14;2;456,5;Check-out Realizado
RSV-31884812;QRT-74428;HSP-577824;Site Próprio;2024-08-04;2024-10-20;2024-10-25;1;411,44;Check-out Realizado
RSV-05708482;QRT-74428;HSP-780065;OTA ViajaMais;2024-10-06;2024-10-26;2024-10-28;2;849,02;Check-out Realizado
RSV-00250474;QRT-74428;HSP-331233;OTA BookNow;2024-09-04;2024-10-30;2024-11-03;1;424,51;Check-out Realizado
RSV-62198299;QRT-74428;HSP-542916;OTA BookNow;2024-09-08;2024-11-04;2024-11-08;2;636,31;Check-out Realizado
RSV-07173690;QRT-74428;HSP-172092;Site Próprio;2024-11-11;2024-11-15;2024-11-17;2;1151,44;Check-out Realizado
RSV-38896282;QRT-74428;HSP-565622;OTA ViajaMais;2024-08-22;2024-11-22;2024-11-24;2;584,88;Check-out Realizado
RSV-89191517;QRT-74428;HSP-966921;OTA BookNow;2024-11-14;2024-11-29;2024-12-03;2;652,06;Check-out Realizado
RSV-82922313;QRT-74428;HSP-013381;Site Próprio;2024-11-17;2024-12-13;2024-12-17;2;643,04;Check-out Realizado
RSV-44028634;QRT-74428;HSP-139267;OTA BookNow;2024-09-20;2024-12-22;2024-12-26;1;563,85;Cancelada
RSV-97765715;QRT-74428;HSP-019086;Site Próprio;2024-11-04;2024-12-26;2024-12-28;2;818,65;Check-out Realizado
RSV-16980952;QRT-74428;HSP-870195;OTA BookNow;2024-11-04;2024-12-28;2024-12-30;1;1018,0;Check-out Realizado
RSV-07385667;QRT-74428;HSP-799953;Site Próprio;2024-11-05;2025-01-03;2025-01-07;1;965,85;Check-out Realizado
RSV-95064469;QRT-74428;HSP-579164;OTA BookNow;2024-10-18;2025-01-10;2025-01-14;2;363,3;Check-out Realizado
RSV-07103939;QRT-74428;HSP-729040;OTA BookNow;2024-12-30;2025-01-22;2025-01-25;2;395,72;Check-out Realizado
RSV-24748733;QRT-74428;HSP-784124;Agência de Turismo;2024-08-20;2025-01-25;2025-01-30;1;818,17;Check-out Realizado
RSV-92436526;QRT-74428;HSP-915593;OTA BookNow;2024-11-30;2025-01-31;2025-02-02;1;549,2;Check-out Realizado
RSV-36944636;QRT-74428;HSP-897610;Site Próprio;2025-02-02;2025-02-08;2025-02-12;1;499,01;Cancelada
RSV-97773727;QRT-74428;HSP-793945;OTA BookNow;2024-11-27;2025-02-12;2025-02-17;1;364,88;Cancelada
RSV-82889341;QRT-74428;HSP-514356;OTA ViajaMais;2025-01-16;2025-02-21;2025-02-23;1;357,66;Check-out Realizado
RSV-42474559;QRT-74428;HSP-048620;OTA BookNow;2024-12-20;2025-02-28;2025-03-04;2;422,1;Check-out Realizado
RSV-40505711;QRT-74428;HSP-781910;Agência de Turismo;2024-11-28;2025-03-14;2025-03-18;1;329,3;Check-out Realizado
RSV-97647692;QRT-74428;HSP-594264;Balcão;2025-03-19;2025-03-19;2025-03-22;1;457,32;Check-out Realizado
RSV-24155284;QRT-74428;HSP-346367;OTA BookNow;2025-01-27;2025-03-25;2025-03-28;1;755,42;Check-out Realizado
RSV-68741293;QRT-74428;HSP-362204;Agência de Turismo;2025-03-08;2025-03-29;2025-03-31;2;603,26;Check-out Realizado
RSV-83111017;QRT-74428;HSP-210261;Central Telefônica;2025-03-14;2025-04-10;2025-04-12;2;408,84;Check-out Realizado
RSV-07262137;QRT-74428;HSP-581690;OTA ViajaMais;2025-01-20;2025-04-15;2025-04-22;1;787,52;Check-out Realizado
RSV-59215918;QRT-74428;HSP-689634;Site Próprio;2025-03-28;2025-04-29;2025-05-03;2;372,85;Cancelada
RSV-17082096;QRT-74428;HSP-274429;Balcão;2025-05-09;2025-05-09;2025-05-12;1;1109,11;Check-out Realizado
RSV-33910148;QRT-74428;HSP-942417;Site Próprio;2025-03-04;2025-05-18;2025-05-22;1;419,32;Check-out Realizado
RSV-37862154;QRT-74428;HSP-707828;OTA BookNow;2025-04-20;2025-05-23;2025-05-25;2;552,14;Check-out Realizado
RSV-88417201;QRT-74428;HSP-153776;OTA BookNow;2025-04-01;2025-05-30;2025-06-01;2;564,8;No-Show
RSV-72189169;QRT-74428;HSP-489172;OTA BookNow;2025-04-07;2025-06-02;2025-06-06;1;811,17;Check-out Realizado
RSV-17689109;QRT-74428;HSP-074227;OTA BookNow;2025-05-01;2025-06-07;2025-06-10;2;918,96;Check-out Realizado
RSV-20616223;QRT-74428;HSP-193048;Site Próprio;2025-04-26;2025-06-13;2025-06-16;1;565,37;Check-out Realizado
RSV-16349584;QRT-74428;HSP-326305;OTA BookNow;2025-04-05;2025-06-18;2025-06-21;2;609,75;Cancelada
RSV-17032800;QRT-74428;HSP-722700;Agência de Turismo;2025-01-15;2025-06-27;2025-06-30;2;855,98;Check-out Realizado
RSV-19215316;QRT-74428;HSP-036860;OTA BookNow;2025-06-24;2025-07-05;2025-07-09;2;599,74;Check-out Realizado
RSV-23704360;QRT-74428;HSP-033380;Balcão;2025-07-11;2025-07-11;2025-07-14;2;1082,23;Check-out Realizado
RSV-80111051;QRT-74428;HSP-069372;OTA BookNow;2025-06-27;2025-07-18;2025-07-20;1;1040,24;Check-out Realizado
RSV-77387124;QRT-74428;HSP-278048;OTA BookNow;2025-05-08;2025-07-25;2025-07-27;2;970,12;Check-out Realizado
RSV-04551413;QRT-74428;HSP-519497;Agência de Turismo;2025-02-08;2025-08-01;2025-08-06;1;881,99;Cancelada
RSV-29429775;QRT-74428;HSP-960097;Site Próprio;2025-07-20;2025-08-09;2025-08-12;2;577,89;Check-out Realizado
RSV-57125810;QRT-74428;HSP-906977;Agência de Turismo;2025-03-30;2025-08-15;2025-08-18;1;539,44;Check-out Realizado
RSV-55769804;QRT-74428;HSP-879825;Site Próprio;2025-05-27;2025-08-22;2025-08-25;1;585,92;Check-out Realizado
RSV-73805810;QRT-74428;HSP-204671;Site Próprio;2025-08-09;2025-08-29;2025-09-01;2;642,77;Check-out Realizado
RSV-30647589;QRT-74428;HSP-574868;OTA BookNow;2025-07-09;2025-09-01;2025-09-05;2;404,44;Check-out Realizado
RSV-22408611;QRT-74428;HSP-377346;OTA ViajaMais;2025-06-08;2025-09-07;2025-09-10;1;741,34;Check-out Realizado
RSV-87298843;QRT-74428;HSP-418502;Site Próprio;2025-07-13;2025-09-19;2025-09-23;1;379,79;Check-out Realizado
RSV-27918631;QRT-74428;HSP-921744;OTA ViajaMais;2025-09-04;2025-10-01;2025-10-04;2;389,95;Check-out Realizado
RSV-14035946;QRT-74428;HSP-609958;OTA BookNow;2025-06-26;2025-10-07;2025-10-10;1;865,87;Check-out Realizado
RSV-80768289;QRT-74428;HSP-079713;Site Próprio;2025-10-07;2025-10-17;2025-10-24;2;785,81;Check-out Realizado
RSV-88386138;QRT-74428;HSP-857184;OTA ViajaMais;2025-09-04;2025-10-27;2025-10-31;1;828,22;Check-out Realizado
RSV-26061668;QRT-74428;HSP-524666;Central Telefônica;2025-10-29;2025-10-31;2025-11-03;1;951,47;Check-out Realizado
RSV-00700872;QRT-74428;HSP-586259;OTA BookNow;2025-09-12;2025-11-07;2025-11-11;2;521,18;Check-out Realizado
RSV-19621887;QRT-74428;HSP-677749;OTA BookNow;2025-10-01;2025-11-11;2025-11-13;1;440,56;Check-out Realizado
RSV-73461760;QRT-74428;HSP-033355;OTA BookNow;2025-10-20;2025-11-21;2025-11-23;2;645,02;Check-out Realizado
RSV-95608074;QRT-74428;HSP-902577;Balcão;2025-11-23;2025-11-23;2025-11-25;1;746,68;Cancelada
RSV-34721692;QRT-74428;HSP-454541;OTA ViajaMais;2025-10-15;2025-11-28;2025-12-05;1;489,73;Check-out Realizado
RSV-19789973;QRT-74428;HSP-658016;OTA BookNow;2025-10-17;2025-12-12;2025-12-16;1;1055,86;Check-out Realizado
RSV-66085609;QRT-74428;HSP-118324;Central Telefônica;2025-12-05;2025-12-19;2025-12-24;1;609,31;Check-out Realizado
RSV-15320823;QRT-74428;HSP-232630;Site Próprio;2025-10-17;2025-12-26;2025-12-28;2;619,77;Check-out Realizado
RSV-29817415;QRT-74428;HSP-434906;Site Próprio;2025-12-21;2025-12-29;2026-01-01;2;1007,54;Check-out Realizado
RSV-84091810;QRT-74428;HSP-094382;OTA BookNow;2025-11-19;2026-01-03;2026-01-07;1;1010,27;Check-out Realizado
RSV-64008423;QRT-74428;HSP-668771;Agência de Turismo;2025-11-22;2026-01-16;2026-01-18;1;418,78;Check-out Realizado
RSV-61634778;QRT-74428;HSP-325967;OTA BookNow;2026-01-18;2026-01-23;2026-01-26;2;582,72;Check-out Realizado
RSV-93315618;QRT-74428;HSP-336022;OTA BookNow;2025-11-07;2026-02-06;2026-02-11;1;423,06;Check-out Realizado
RSV-66386091;QRT-74428;HSP-349699;Balcão;2026-02-13;2026-02-13;2026-02-15;2;454,26;Check-out Realizado
RSV-93074594;QRT-74428;HSP-527947;Site Próprio;2025-11-24;2026-02-20;2026-02-24;2;405,76;Check-out Realizado
RSV-53139279;QRT-74428;HSP-084428;OTA BookNow;2025-12-24;2026-02-26;2026-03-03;1;332,32;Check-out Realizado
RSV-20331711;QRT-74428;HSP-990204;OTA BookNow;2026-01-27;2026-03-13;2026-03-17;2;398,85;Check-out Realizado
RSV-34270926;QRT-74428;HSP-198720;OTA BookNow;2026-02-04;2026-03-21;2026-03-25;2;397,43;Cancelada
RSV-06826709;QRT-74428;HSP-598227;Balcão;2026-04-03;2026-04-03;2026-04-06;1;468,72;Check-out Realizado
RSV-05366867;QRT-74428;HSP-948787;OTA BookNow;2025-12-11;2026-04-10;2026-04-17;2;334,16;Check-out Realizado
RSV-67040299;QRT-74428;HSP-296280;Agência de Turismo;2026-01-24;2026-04-24;2026-04-28;1;652,79;Check-out Realizado
RSV-76725865;QRT-74428;HSP-325967;Site Próprio;2026-04-06;2026-05-04;2026-05-07;2;367,0;Check-out Realizado
RSV-63646310;QRT-74428;HSP-856470;Agência de Turismo;2026-02-09;2026-05-07;2026-05-11;2;547,05;Check-out Realizado
RSV-17816208;QRT-74428;HSP-491545;Balcão;2026-05-22;2026-05-22;2026-05-24;1;522,32;Check-out Realizado
RSV-01159449;QRT-74428;HSP-729040;OTA ViajaMais;2026-02-22;2026-05-24;2026-05-28;2;506,75;Check-out Realizado
RSV-60236412;QRT-74428;HSP-064972;Agência de Turismo;2026-04-18;2026-06-01;2026-06-04;1;528,63;Cancelada
RSV-89936817;QRT-74428;HSP-735118;Site Próprio;2026-05-10;2026-06-05;2026-06-07;2;812,89;Cancelada
RSV-49337023;QRT-74428;HSP-139267;OTA BookNow;2026-03-27;2026-06-11;2026-06-13;1;759,21;Check-out Realizado
RSV-63705056;QRT-74428;HSP-941167;OTA BookNow;2026-03-19;2026-06-19;2026-06-23;2;912,82;Check-out Realizado
RSV-28589122;QRT-74428;HSP-940018;Balcão;2026-06-23;2026-06-23;2026-06-26;1;711,44;Check-out Realizado
RSV-60339137;QRT-74428;HSP-417913;OTA ViajaMais;2026-04-21;2026-06-27;2026-06-29;1;969,98;Check-out Realizado
RSV-68778797;QRT-74428;HSP-194250;Balcão;2026-07-03;2026-07-03;2026-07-06;2;771,93;Cancelada
RSV-39072660;QRT-74428;HSP-005084;Central Telefônica;2026-07-08;2026-07-10;2026-07-17;1;1122,13;Confirmada
