Quarto_ID;Hotel_ID;Numero_Quarto;Andar;Tipo_Quarto;Capacidade_Pessoas;Vista;Tarifa_Base_Diaria
QRT-70661;HTL-356;302;3;Luxo;3;Jardim;1481,48
QRT-19734;HTL-356;303;3;Luxo;3;Vale;1683,61
QRT-04443;HTL-356;304;3;Standard;2;Vale;1081,48
QRT-47928;HTL-356;305;3;Luxo;3;Jardim;1789,65
QRT-85329;HTL-356;306;3;Superior;3;Jardim;1210,28
QRT-46308;HTL-356;307;3;Standard;2;Jardim;831,2
QRT-22585;HTL-356;308;3;Standard;2;Montanha;1034,99
QRT-74766;HTL-356;309;3;Superior;3;Montanha;1053,8
QRT-26354;HTL-356;310;3;Superior;3;Montanha;1060,43
QRT-53432;HTL-356;311;3;Superior;3;Jardim;1622,39
QRT-57124;HTL-356;312;3;Superior;3;Jardim;942,65
QRT-98233;HTL-356;401;4;Superior;3;Vale;1312,51
QRT-95618;HTL-356;402;4;Superior;3;Montanha;1221,98
QRT-81045;HTL-485;101;1;Standard;2;Mar;962,02
QRT-53917;HTL-485;102;1;Superior;3;Mar;1110,47
QRT-54489;HTL-485;103;1;Superior;3;Jardim;1024,91
QRT-90762;HTL-485;104;1;Standard;2;Jardim;717,34
QRT-00452;HTL-485;105;1;Standard;2;Mar;905,93
QRT-80227;HTL-485;106;1;Standard;2;Jardim;855,29
QRT-56980;HTL-485;107;1;Superior;3;Mar;1356,41
QRT-89443;HTL-485;108;1;Standard;2;Piscina;1048,93
QRT-40043;HTL-485;109;1;Standard;2;Piscina;990,29
QRT-68507;HTL-485;110;1;Standard;2;Mar;945,22
QRT-74691;HTL-485;111;1;Luxo;3;Jardim;1127,91
QRT-94431;HTL-485;112;1;Superior;3;Jardim;1481,04
QRT-29854;HTL-485;201;2;Standard;2;Piscina;1110,08
QRT-78808;HTL-485;202;2;Standard;2;Piscina;751,87
QRT-37672;HTL-485;203;2;Superior;3;Mar;1144,68
QRT-61962;HTL-485;204;2;Superior;3;Piscina;1189,54
QRT-42819;HTL-485;205;2;Standard;2;Jardim;688,48
QRT-75289;HTL-485;206;2;Superior;3;Mar;1421,68
QRT-15710;HTL-485;207;2;Standard;2;Jardim;769,68
QRT-72078;HTL-485;208;2;Luxo;3;Piscina;1425,16
QRT-15355;HTL-485;209;2;Superior;3;Jardim;1229,47
QRT-92384;HTL-485;210;2;Superior;3;Piscina;1523,94
QRT-83689;HTL-485;211;2;Standard;2;Piscina;1117,24
QRT-93180;HTL-485;212;2;Superior;3;Mar;1090,02
QRT-46149;HTL-485;301;3;Suíte Master;4;Mar;2983,34
QRT-03659;HTL-485;302;3;Standard;2;Jardim;926,44
QRT-00699;HTL-485;303;3;Superior;3;Piscina;1526,1
QRT-77112;HTL-485;304;3;Luxo;3;Piscina;2058,51
QRT-23155;HTL-485;305;3;Standard;2;Piscina;1173,61
QRT-63645;HTL-485;306;3;Luxo;3;Mar;1450,92
QRT-20896;HTL-485;307;3;Standard;2;Jardim;837,47
QRT-92964;HTL-485;308;3;Standard;2;Piscina;1266,05
QRT-13326;HTL-485;309;3;Standard;2;Piscina;1209,07
QRT-08799;HTL-485;310;3;Standard;2;Jardim;925,4
QRT-28212;HTL-485;311;3;Luxo;3;Piscina;1857,54
QRT-10607;HTL-485;312;3;Luxo;3;Jardim;1763,41
QRT-02711;HTL-485;401;4;Standard;2;Piscina;1134,06
QRT-98284;HTL-485;402;4;Superior;3;Piscina;1261,41
QRT-84072;HTL-485;403;4;Luxo;3;Jardim;1951,43
QRT-98370;HTL-485;404;4;Superior;3;Jardim;1609,46
QRT-72363;HTL-485;405;4;Superior;3;Piscina;1135,65
QRT-85920;HTL-485;406;4;Superior;3;Piscina;869,39
QRT-41934;HTL-485;407;4;Luxo;3;Jardim;1387,77
QRT-46794;HTL-485;408;4;Standard;2;Jardim;764,11
QRT-68692;HTL-485;409;4;Luxo;3;Mar;2261,28
QRT-98065;HTL-485;410;4;Superior;3;Mar;1372,67
QRT-29980;HTL-485;411;4;Suíte Master;4;Piscina;1650,34
QRT-07215;HTL-485;412;4;Standard;2;Jardim;1050,23
QRT-28319;HTL-485;501;5;Standard;2;Jardim;808,44
QRT-57181;HTL-485;502;5;Standard;2;Mar;1486,11
QRT-02141;HTL-485;503;5;Standard;2;Mar;1201,85
QRT-51590;HTL-485;504;5;Standard;2;Piscina;1162,37
QRT-41748;HTL-785;101;1;Standard;2;Piscina;490,99
QRT-26539;HTL-785;102;1;Standard;2;Mar;393,85
QRT-47168;HTL-785;103;1;Superior;3;Piscina;532,57
QRT-84837;HTL-785;104;1;Superior;3;Mar;591,84
QRT-31908;HTL-785;105;1;Standard;2;Piscina;456,37
QRT-31095;HTL-785;106;1;Standard;2;Mar;542,19
QRT-67879;HTL-785;107;1;Superior;3;Piscina;496,48
QRT-51483;HTL-785;108;1;Superior;3;Piscina;437,11
QRT-58898;HTL-785;109;1;Superior;3;Mar;682,66
QRT-66602;HTL-785;110;1;Superior;3;Jardim;544,73
QRT-11607;HTL-785;111;1;Luxo;3;Piscina;634,71
QRT-24337;HTL-785;112;1;Suíte Master;4;Mar;1247,81
QRT-81700;HTL-785;201;2;Luxo;3;Jardim;709,25
QRT-42714;HTL-785;202;2;Standard;2;Piscina;422,28
QRT-53290;HTL-785;203;2;Standard;2;Jardim;442,7
QRT-72144;HTL-785;204;2;Standard;2;Mar;547,17
QRT-58808;HTL-785;205;2;Standard;2;Jardim;463,7
QRT-03446;HTL-785;206;2;Standard;2;Mar;479,96
QRT-38689;HTL-785;207;2;Standard;2;Piscina;333,96
QRT-55333;HTL-785;208;2;Standard;2;Mar;432,66
QRT-65173;HTL-785;209;2;Standard;2;Mar;396,19
QRT-21167;HTL-785;210;2;Suíte Master;4;Jardim;1115,17
QRT-64556;HTL-785;211;2;Superior;3;Mar;734,2
QRT-68610;HTL-785;212;2;Luxo;3;Jardim;721,13
QRT-53040;HTL-785;301;3;Standard;2;Piscina;481,3
QRT-88654;HTL-785;302;3;Standard;2;Piscina;344,58
QRT-48634;HTL-785;303;3;Superior;3;Jardim;625,27
QRT-88906;HTL-785;304;3;Standard;2;Mar;477,94
QRT-45132;HTL-785;305;3;Standard;2;Jardim;413,17
QRT-06335;HTL-785;306;3;Standard;2;Piscina;458,99
QRT-69835;HTL-785;307;3;Standard;2;Piscina;467,51
QRT-66170;HTL-785;308;3;Standard;2;Piscina;388,94
QRT-86876;HTL-785;309;3;Superior;3;Jardim;600,52
QRT-50393;HTL-785;310;3;Superior;3;Jardim;571,73
QRT-10817;HTL-785;311;3;Luxo;3;Mar;686,4
QRT-37131;HTL-785;312;3;Luxo;3;Jardim;539,48
QRT-24274;HTL-878;101;1;Standard;2;Piscina;458,51
QRT-79165;HTL-878;102;1;Superior;3;Piscina;641,83
QRT-54116;HTL-878;103;1;Standard;2;Piscina;477,84
QRT-85188;HTL-878;104;1;Luxo;3;Mar;831,36
QRT-91492;HTL-878;105;1;Standard;2;Mar;439,1
QRT-43330;HTL-878;106;1;Superior;3;Piscina;633,49
QRT-86712;HTL-878;107;1;Standard;2;Piscina;506,86
QRT-74690;HTL-878;108;1;Luxo;3;Jardim;780,66
QRT-75123;HTL-878;109;1;Standard;2;Mar;499,41
QRT-60845;HTL-878;110;1;Standard;2;Piscina;451,4
QRT-14624;HTL-878;111;1;Superior;3;Jardim;469,96
QRT-39575;HTL-878;112;1;Superior;3;Mar;617,35
QRT-33730;HTL-878;201;2;Standard;2;Piscina;338,27
QRT-77305;HTL-878;202;2;Standard;2;Jardim;449,37
QRT-69411;HTL-878;203;2;Luxo;3;Mar;897,5
QRT-27833;HTL-878;204;2;Superior;3;Piscina;421,28
QRT-06280;HTL-878;205;2;Standard;2;Jardim;419,95
QRT-38783;HTL-878;206;2;Superior;3;Piscina;442,06
QRT-37204;HTL-878;207;2;Suíte Master;4;Piscina;1061,43
QRT-30636;HTL-878;208;2;Standard;2;Mar;498,69
QRT-47964;HTL-878;209;2;Standard;2;Jardim;414,34
QRT-63869;HTL-878;210;2;Superior;3;Mar;494,87
QRT-41263;HTL-878;211;2;Standard;2;Jardim;458,84
QRT-69375;HTL-878;212;2;Suíte Master;4;Mar;1176,94
QRT-29015;HTL-878;301;3;Superior;3;Piscina;487,17
QRT-24929;HTL-878;302;3;Suíte Master;4;Mar;1004,41
QRT-01798;HTL-878;303;3;Superior;3;Mar;511,45
QRT-75221;HTL-878;304;3;Suíte Master;4;Piscina;1050,85
QRT-75121;HTL-878;305;3;Superior;3;Jardim;563,95
QRT-54918;HTL-878;306;3;Luxo;3;Mar;733,37
QRT-75780;HTL-878;307;3;Standard;2;Piscina;519,92
QRT-45185;HTL-878;308;3;Suíte Master;4;Jardim;791,41
QRT-90111;HTL-878;309;3;Superior;3;Mar;592,53
QRT-95201;HTL-878;310;3;Standard;2;Jardim;372,84
QRT-35519;HTL-878;311;3;Suíte Master;4;Piscina;813,7
QRT-93908;HTL-878;312;3;Standard;2;Jardim;448,65
QRT-22560;HTL-878;401;4;Standard;2;Jardim;476,49
QRT-94862;HTL-878;402;4;Luxo;3;Jardim;616,06
QRT-44318;HTL-878;403;4;Standard;2;Mar;414,04
QRT-13534;HTL-878;404;4;Standard;2;Piscina;515,32
QRT-09849;HTL-878;405;4;Standard;2;Mar;410,28
QRT-71194;HTL-878;406;4;Luxo;3;Piscina;811,86
QRT-95923;HTL-878;407;4;Luxo;3;Piscina;535,05
QRT-86201;HTL-878;408;4;Standard;2;Piscina;443,53
QRT-73451;HTL-878;409;4;Standard;2;Piscina;468,23
QRT-45866;HTL-878;410;4;Superior;3;Mar;579,9
QRT-55013;HTL-103;101;1;Standard;2;Mar;225,31
QRT-81933;HTL-103;102;1;Superior;3;Piscina;239,89
QRT-55454;HTL-103;103;1;Superior;3;Piscina;284,37
QRT-95776;HTL-103;104;1;Standard;2;Piscina;233,9
QRT-69520;HTL-103;105;1;Standard;2;Piscina;201,24
QRT-68160;HTL-103;106;1;Superior;3;Jardim;287,9
QRT-44425;HTL-103;107;1;Suíte Master;4;Mar;516,47
QRT-70123;HTL-103;108;1;Superior;3;Piscina;312,28
QRT-94556;HTL-103;109;1;Superior;3;Jardim;262,68
QRT-66125;HTL-103;110;1;Luxo;3;Jardim;370,34
QRT-76445;HTL-103;111;1;Standard;2;Piscina;241,69
QRT-16398;HTL-103;112;1;Suíte Master;4;Jardim;464,32
QRT-27342;HTL-103;201;2;Suíte Master;4;Mar;537,56
QRT-25217;HTL-103;202;2;Superior;3;Mar;353,96
QRT-56047;HTL-103;203;2;Standard;2;Mar;268,62
QRT-59498;HTL-103;204;2;Standard;2;Mar;207,48
QRT-22076;HTL-103;205;2;Superior;3;Mar;345,68
QRT-99181;HTL-103;206;2;Standard;2;Jardim;237,85
QRT-17820;HTL-103;207;2;Suíte Master;4;Piscina;558,98
QRT-92954;HTL-103;208;2;Standard;2;Jardim;188,58
QRT-11142;HTL-103;209;2;Suíte Master;4;Jardim;500,12
QRT-26166;HTL-103;210;2;Standard;2;Jardim;206,97
QRT-06113;HTL-103;211;2;Standard;2;Piscina;221,22
QRT-42355;HTL-103;212;2;Standard;2;Piscina;210,69
QRT-01345;HTL-103;301;3;Standard;2;Piscina;235,42
QRT-66932;HTL-103;302;3;Luxo;3;Jardim;386,54
QRT-76454;HTL-103;303;3;Suíte Master;4;Piscina;442,19
QRT-76575;HTL-103;304;3;Superior;3;Jardim;307,56
QRT-50555;HTL-103;305;3;Superior;3;Piscina;232,81
QRT-46748;HTL-103;306;3;Standard;2;Piscina;248,36
QRT-54048;HTL-103;307;3;Standard;2;Mar;248,72
QRT-02047;HTL-103;308;3;Superior;3;Piscina;250,45
QRT-09047;HTL-103;309;3;Superior;3;Mar;366,23
QRT-49389;HTL-103;310;3;Luxo;3;Jardim;370,67
QRT-81819;HTL-103;311;3;Standard;2;Jardim;257,13
QRT-20026;HTL-103;312;3;Standard;2;Mar;273,96
QRT-24118;HTL-103;401;4;Superior;3;Jardim;262,93
QRT-47802;HTL-103;402;4;Luxo;3;Mar;450,36
QRT-68204;HTL-103;403;4;Standard;2;Mar;248,07
QRT-92955;HTL-103;404;4;Superior;3;Mar;274,87
QRT-25571;HTL-782;101;1;Superior;3;Mata;510,72
QRT-99673;HTL-782;102;1;Superior;3;Piscina;530,21
QRT-15228;HTL-782;103;1;Standard;2;Mata;386,98
QRT-59512;HTL-782;104;1;Standard;2;Jardim;503,8
QRT-43580;HTL-782;105;1;Standard;2;Piscina;345,02
QRT-81775;HTL-782;106;1;Standard;2;Piscina;444,56
QRT-92177;HTL-782;107;1;Superior;3;Jardim;484,51
QRT-73232;HTL-782;108;1;Luxo;3;Mata;739,47
QRT-25409;HTL-782;109;1;Superior;3;Piscina;497,82
QRT-34521;HTL-782;110;1;Superior;3;Jardim;629,65
QRT-41338;HTL-782;111;1;Standard;2;Piscina;440,04
QRT-37477;HTL-782;112;1;Superior;3;Piscina;636,57
QRT-17495;HTL-782;201;2;Superior;3;Piscina;601,31
QRT-80800;HTL-782;202;2;Superior;3;Mata;536,94
QRT-70536;HTL-782;203;2;Standard;2;Piscina;373,97
QRT-60540;HTL-782;204;2;Superior;3;Piscina;629,28
QRT-08689;HTL-782;205;2;Superior;3;Piscina;644,65
QRT-26237;HTL-782;206;2;Standard;2;Mata;429,63
QRT-26280;HTL-782;207;2;Standard;2;Jardim;417,21
QRT-03500;HTL-782;208;2;Suíte Master;4;Piscina;1090,94
QRT-63998;HTL-782;209;2;Standard;2;Jardim;490,61
QRT-88400;HTL-782;210;2;Suíte Master;4;Mata;851,39
QRT-09395;HTL-782;211;2;Suíte Master;4;Piscina;1005,25
QRT-92558;HTL-782;212;2;Luxo;3;Piscina;777,55
QRT-71975;HTL-782;301;3;Superior;3;Piscina;491,29
QRT-20665;HTL-782;302;3;Suíte Master;4;Mata;801,69
QRT-29439;HTL-782;303;3;Suíte Master;4;Jardim;771,95
QRT-37220;HTL-782;304;3;Standard;2;Piscina;441,32
QRT-67310;HTL-782;305;3;Standard;2;Jardim;465,22
QRT-10455;HTL-782;306;3;Standard;2;Jardim;474,66
QRT-47759;HTL-105;101;1;Standard;2;Jardim;180,99
QRT-31340;HTL-105;102;1;Standard;2;Piscina;193,57
QRT-73974;HTL-105;103;1;Standard;2;Jardim;203,98
QRT-39368;HTL-105;104;1;Superior;3;Jardim;235,7
QRT-86536;HTL-105;105;1;Standard;2;Jardim;214,45
QRT-99264;HTL-105;106;1;Superior;3;Jardim;256,42
QRT-27391;HTL-105;107;1;Superior;3;Mata;257,59
QRT-59474;HTL-105;108;1;Suíte Master;4;Mata;539,44
QRT-87613;HTL-105;109;1;Standard;2;Piscina;185,53
QRT-70944;HTL-105;110;1;Standard;2;Mata;237,22
QRT-09785;HTL-105;111;1;Superior;3;Piscina;266,83
QRT-63609;HTL-105;112;1;Suíte Master;4;Mata;555,49
QRT-37102;HTL-105;201;2;Superior;3;Jardim;321,68
QRT-54375;HTL-105;202;2;Luxo;3;Piscina;362,31
QRT-42908;HTL-105;203;2;Superior;3;Jardim;324,77
QRT-42444;HTL-105;204;2;Luxo;3;Jardim;327,92
QRT-07031;HTL-105;205;2;Superior;3;Jardim;231,72
QRT-11592;HTL-105;206;2;Luxo;3;Piscina;319,22
QRT-63784;HTL-105;207;2;Standard;2;Mata;194,91
QRT-27801;HTL-105;208;2;Standard;2;Mata;236,38
QRT-11649;HTL-105;209;2;Luxo;3;Mata;334,82
QRT-53868;HTL-105;210;2;Standard;2;Jardim;228,9
QRT-56321;HTL-105;211;2;Superior;3;Jardim;316,87
QRT-41316;HTL-105;212;2;Standard;2;Mata;220,87
QRT-11218;HTL-105;301;3;Superior;3;Piscina;318,07
QRT-41356;HTL-105;302;3;Superior;3;Jardim;320,18
QRT-84007;HTL-105;303;3;Standard;2;Jardim;213,25
QRT-27574;HTL-105;304;3;Standard;2;Jardim;197,99
QRT-78380;HTL-105;305;3;Superior;3;Piscina;236,42
QRT-47628;HTL-105;306;3;Superior;3;Piscina;246,85
QRT-84972;HTL-105;307;3;Standard;2;Jardim;207,89
QRT-86467;HTL-105;308;3;Luxo;3;Piscina;376,21
QRT-55192;HTL-105;309;3;Luxo;3;Mata;360,97
QRT-60979;HTL-105;310;3;Superior;3;Piscina;323,55
QRT-82787;HTL-105;311;3;Suíte Master;4;Piscina;437,35
QRT-66307;HTL-105;312;3;Superior;3;Jardim;239,22
QRT-29393;HTL-105;401;4;Luxo;3;Jardim;354,0
QRT-96687;HTL-105;402;4;Standard;2;Piscina;187,45
QRT-43251;HTL-105;403;4;Standard;2;Jardim;245,99
QRT-70680;HTL-105;404;4;Luxo;3;Jardim;402,45
QRT-09261;HTL-105;405;4;Suíte Master;4;Mata;495,2
QRT-80306;HTL-105;406;4;Superior;3;Mata;312,44
QRT-02055;HTL-606;101;1;Standard;2;Interna;187,3
QRT-89410;HTL-606;102;1;Standard;2;Cidade;235,65
QRT-13238;HTL-606;103;1;Standard;2;Interna;244,48
QRT-15064;HTL-606;104;1;Luxo;3;Interna;415,1
QRT-96428;HTL-606;105;1;Superior;3;Interna;299,83
QRT-39312;HTL-606;106;1;Standard;2;Cidade;227,17
QRT-72908;HTL-606;107;1;Standard;2;Interna;228,08
QRT-57208;HTL-606;108;1;Luxo;3;Cidade;354,27
QRT-26080;HTL-606;109;1;Suíte Master;4;Avenida;485,0
QRT-85367;HTL-606;110;1;Standard;2;Avenida;190,56
QRT-02007;HTL-606;111;1;Suíte Master;4;Cidade;417,07
QRT-74465;HTL-606;112;1;Superior;3;Interna;296,26
QRT-52853;HTL-606;201;2;Standard;2;Cidade;204,79
QRT-06780;HTL-606;202;2;Superior;3;Interna;293,11
QRT-60661;HTL-606;203;2;Standard;2;Avenida;189,28
QRT-19577;HTL-606;204;2;Standard;2;Cidade;236,12
QRT-87183;HTL-606;205;2;Standard;2;Cidade;239,98
QRT-75043;HTL-606;206;2;Standard;2;Interna;185,11
QRT-17861;HTL-606;207;2;Superior;3;Interna;241,69
QRT-82431;HTL-606;208;2;Luxo;3;Cidade;293,64
QRT-97434;HTL-606;209;2;Suíte Master;4;Cidade;515,73
QRT-51602;HTL-606;210;2;Superior;3;Avenida;307,6
QRT-04283;HTL-606;211;2;Superior;3;Cidade;320,41
QRT-27723;HTL-606;212;2;Superior;3;Cidade;261,89
QRT-57190;HTL-606;301;3;Suíte Master;4;Cidade;548,77
QRT-89068;HTL-606;302;3;Superior;3;Interna;308,96
QRT-94991;HTL-606;303;3;Superior;3;Cidade;245,52
QRT-85739;HTL-606;304;3;Standard;2;Cidade;253,7
QRT-63506;HTL-606;305;3;Standard;2;Cidade;220,43
QRT-38773;HTL-606;306;3;Standard;2;Avenida;200,88
QRT-17114;HTL-606;307;3;Standard;2;Cidade;255,48
QRT-92321;HTL-606;308;3;Standard;2;Cidade;222,87
QRT-76281;HTL-606;309;3;Standard;2;Interna;204,34
QRT-02819;HTL-606;310;3;Superior;3;Avenida;264,62
QRT-24810;HTL-606;311;3;Luxo;3;Interna;383,75
QRT-83665;HTL-606;312;3;Luxo;3;Cidade;304,73
QRT-09419;HTL-606;401;4;Standard;2;Cidade;181,74
QRT-90947;HTL-606;402;4;Luxo;3;Avenida;303,68
QRT-12128;HTL-606;403;4;Superior;3;Avenida;293,32
QRT-64840;HTL-606;404;4;Standard;2;Interna;229,36
QRT-85687;HTL-606;405;4;Standard;2;Avenida;195,96
QRT-54953;HTL-606;406;4;Suíte Master;4;Interna;480,08
QRT-08284;HTL-606;407;4;Standard;2;Avenida;227,77
QRT-91628;HTL-606;408;4;Standard;2;Interna;259,97
QRT-95939;HTL-606;409;4;Suíte Master;4;Cidade;554,59
QRT-58690;HTL-606;410;4;Suíte Master;4;Cidade;446,4
QRT-51984;HTL-606;411;4;Superior;3;Interna;281,36
QRT-06043;HTL-606;412;4;Standard;2;Avenida;183,04
QRT-18801;HTL-606;501;5;Superior;3;Cidade;259,08
QRT-88939;HTL-606;502;5;Superior;3;Cidade;302,44
QRT-39746;HTL-606;503;5;Standard;2;Cidade;206,92
QRT-96972;HTL-606;504;5;Superior;3;Avenida;242,42
QRT-72107;HTL-606;505;5;Superior;3;Cidade;262,84
QRT-69925;HTL-606;506;5;Superior;3;Interna;228,24
QRT-03369;HTL-606;507;5;Suíte Master;4;Cidade;474,93
QRT-84220;HTL-606;508;5;Luxo;3;Interna;369,81
QRT-04414;HTL-606;509;5;Standard;2;Cidade;237,63
QRT-14866;HTL-606;510;5;Luxo;3;Avenida;357,89
QRT-13758;HTL-108;101;1;Standard;2;Cidade;344,1
QRT-87466;HTL-108;102;1;Standard;2;Interna;517,2
QRT-21677;HTL-108;103;1;Standard;2;Cidade;349,24
QRT-03540;HTL-108;104;1;Standard;2;Avenida;386,51
QRT-66101;HTL-108;105;1;Standard;2;Cidade;385,96
QRT-17482;HTL-108;106;1;Standard;2;Cidade;419,98
QRT-83424;HTL-108;107;1;Superior;3;Avenida;456,41
QRT-16068;HTL-108;108;1;Standard;2;Avenida;437,21
QRT-03596;HTL-108;109;1;Standard;2;Interna;373,23
QRT-40975;HTL-108;110;1;Suíte Master;4;Interna;1144,28
QRT-61719;HTL-108;111;1;Luxo;3;Interna;733,97
QRT-49496;HTL-108;112;1;Suíte Master;4;Cidade;814,14
QRT-78055;HTL-108;201;2;Luxo;3;Avenida;625,2
QRT-87654;HTL-108;202;2;Luxo;3;Interna;667,28
QRT-59117;HTL-108;203;2;Standard;2;Cidade;437,65
QRT-82654;HTL-108;204;2;Luxo;3;Interna;795,56
QRT-66083;HTL-108;205;2;Standard;2;Avenida;357,33
QRT-23373;HTL-108;206;2;Standard;2;Interna;420,29
QRT-92377;HTL-108;207;2;Luxo;3;Interna;736,2
QRT-61287;HTL-108;208;2;Standard;2;Interna;409,19
QRT-51351;HTL-108;209;2;Luxo;3;Avenida;777,59
QRT-18824;HTL-108;210;2;Luxo;3;Interna;536,8
QRT-34396;HTL-108;211;2;Suíte Master;4;Interna;846,01
QRT-18531;HTL-108;212;2;Standard;2;Avenida;442,87
QRT-00087;HTL-108;301;3;Luxo;3;Interna;780,58
QRT-62407;HTL-108;302;3;Standard;2;Cidade;453,0
QRT-11826;HTL-108;303;3;Luxo;3;Cidade;672,13
QRT-64332;HTL-108;304;3;Suíte Master;4;Interna;1181,59
QRT-65099;HTL-108;305;3;Superior;3;Interna;536,15
QRT-62109;HTL-108;306;3;Luxo;3;Interna;724,79
QRT-78217;HTL-108;307;3;Superior;3;Avenida;474,52
QRT-31042;HTL-108;308;3;Luxo;3;Interna;650,85
QRT-07517;HTL-108;309;3;Luxo;3;Avenida;646,04
QRT-49331;HTL-108;310;3;Standard;2;Interna;451,28
QRT-01287;HTL-108;311;3;Superior;3;Interna;455,52
QRT-62284;HTL-108;312;3;Standard;2;Interna;500,92
QRT-28485;HTL-108;401;4;Luxo;3;Avenida;607,21
QRT-11654;HTL-108;402;4;Suíte Master;4;Cidade;965,36
QRT-24594;HTL-108;403;4;Luxo;3;Cidade;569,76
QRT-03930;HTL-108;404;4;Standard;2;Interna;364,27
